name,primary_type,mobile,website,address,rating,reviews,maps_url
Saltstayz Express - Golf Course Road & DLF Phase-1,hotel,9599199605,,"Plot No. 75, Metro, Global, Foyer Mall, Golf Crse Rd, near DLF Phase-1, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",4.7,2007,https://maps.google.com/?cid=16920317736509926552&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Club Riviera by FNP Venues,wedding_venue,7827812345,https://www.fnpvenues.com/wedding-venues-gurgaon/club-riviera/,"NH - 8, Golf Dr, behind the leela Hotel Ambience, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",4.5,1998,https://maps.google.com/?cid=11325007856856792892&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Bluorng,clothing_store,9266866296,https://bluorng.com/,"F-149, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",4.9,1931,https://maps.google.com/?cid=13826573618021880508&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
The Pasta Bowl Company,italian_restaurant,9971970077,http://www.thepastabowlcompany.com/,"2nd Floor, Crosspoint Mall, Sector 28, DLF Phase IV, Gurugram, Haryana 122009, India",4.4,1689,https://maps.google.com/?cid=17604618042406961897&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Titan World,store,8062914012,https://www.titan.co.in/stores?storeId=TAGH,"Nathupur, Shop No 108, First Floor, Ambience Mall Island, near Chaayos Store, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",4.7,1663,https://maps.google.com/?cid=10794203043257889444&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"La La Land Brew Pub, Gurgaon",pub,8010950000,,"1st Floor, Global Foyer Mall, Golf Course Rd, Sector 43, Gurugram, Haryana 122009, India",4.3,1482,https://maps.google.com/?cid=10603665172913337137&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
O2PRO,health,9577200200,https://o2procare.com/,"Plot no. 859, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",4.7,1477,https://maps.google.com/?cid=14616627638422089959&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Jockey Exclusive Store,clothing_store,7840009702,https://stores.jockey.in/jockey-exclusive-store-sarhol-gurugram-44934/home?utm_source=GMB,"First Floor, MGF Metropolitan Mall, FC 0104, Mehrauli-Gurgaon Rd, DLF Phase 2, Sector 25, Sarhol, Gurugram, Haryana 122009, India",4.9,1463,https://maps.google.com/?cid=713564408631784906&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
MyChoize - Self Drive Car Rentals in Gurgaon,car_rental,9512341234,https://www.mychoize.com/self-drive-car-rentals-delhi?utm_source=google_maps&utm_campaign=maps_listing,"Plot No 12, near Munjals Shobha Maruti Indl. Area, Udyog Vihar, Sector 18, Sarhol, Gurugram, Haryana 122015, India",4.7,1387,https://maps.google.com/?cid=10797259946491878474&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
World Laparoscopy Hospital,medical_clinic,9811416838,https://www.laparoscopyhospital.com/,"F3VR+RJC Cyber City, X23, DLF Cyber City, DLF Phase 2, Sector 24, Gurugram, Delhi, Haryana 122002, India",4.9,1264,https://maps.google.com/?cid=6582454305793765801&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"Apple Premium Reseller - Aptronix - Ambience Mall, Gurgaon",cell_phone_store,8044953812,https://www.aptronixindia.com/,"Ground Floor, Ambience Mall NH 48, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",4.3,1165,https://maps.google.com/?cid=13968637622105855701&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
PEHLE CHAI,restaurant,7428908282,http://www.pehlechai.com/,"PLOT NO 728, SHOP NO 1, GROUND FLOOR, SANTOSH PLAZA, 2 & 3, Sushant Lok Phase I, Sector 27, Gurugram, Haryana 122001, India",4.3,1146,https://maps.google.com/?cid=1745921224197083909&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"Lime Tree Hotel Sushant Lok Gurgaon at IFFCO Metro close to Leisure Valley , Sector 29",hotel,9667079001,https://www.limetreehotels.com/sushant-lok-hotel-in-gurgaon/,"A-587, Sushant Lok Phase-1 Sector -28, Gurgaon, Block A, Sushant Lok Phase I, Sector 43, Delhi NCR, Gurugram, Haryana 122009, India",4.5,1136,https://maps.google.com/?cid=12158555094538136318&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Saltstayz Premier,hotel,8800012701,https://saltstayz.com/hotels/gurgaon/saltstayz-premier-golf-course-road-and-sector-42,"Plot No. 780, Golf Crse Rd, Sector 42, Gurugram, Haryana 122009, India",4.8,1085,https://maps.google.com/?cid=6612247606630129903&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"UNIQLO DLF Cyberhub, Gurugram",clothing_store,9220709309,https://www.uniqlo.com/in/en/,"Ground Floor, Tower A, Tower C, DLF Cyber City, DLF Phase 2, Sector 24, Gurugram, Haryana 122002, India",4.2,1070,https://maps.google.com/?cid=9934885292880284939&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"DLF Downtown, Gurugram",corporate_office,8800596532,https://www.dlf.in/offices/gurugram/dlf-downtown,"NH 48, Sector 25A, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",4.6,1056,https://maps.google.com/?cid=12035621163677493133&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
24x7 Pest Control Gurugram(Gurgaon),service,9810034344,http://www.24x7pestcontrol.co.in/,"686, Ground Floor, Saraswati Vihar, Oppt. Sahara Mall, Sector 28, Sushant Lok Phase I, Gurugram, Haryana 122009, India",4.4,1034,https://maps.google.com/?cid=1078049198519058897&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Fig at MG,cafe,8447102226,https://www.instagram.com/figatmgroad/,"Ground Floor, TOWER-A, Global Gateway Towers, Unit 1, Mehrauli-Gurgaon Rd, Sikanderpur, Sector 26, Gurugram, Haryana 122002, India",4.4,1028,https://maps.google.com/?cid=128419131791281617&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"Cashify Mobile Phone Store & Repair Shop | Sushant Lok, Gurugram",cell_phone_store,7314851285,https://www.cashify.in/sell-old-mobile-phone?__utmrg=gmbsellpage&utm_source=google&utm_medium=my_business_listing&utm_campaign=gmbsellpage&utm_term=gmblisting&utm_content=gmbsell,"GF 133, Sushant Vyapar Kendra market, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4.7,1024,https://maps.google.com/?cid=6500882468508869091&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
The Aldott Boutique Hotel,hotel,9811013689,http://www.thealdott.com/,"81, Moulsari Ave, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",4.5,1023,https://maps.google.com/?cid=16258023425846428993&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
HostBooks Limited,service,9152343434,https://www.hostbooks.com/,"1st Floor, Nimai Tower, 412-415, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",4.5,970,https://maps.google.com/?cid=11084054655467534438&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Pour and Palate | Coffee and Cuisine,cafe,8527888903,https://pourandpalate.com/,"1st Floor, B-65, opposite Vipul Square, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122002, India",4.8,925,https://maps.google.com/?cid=12964690226623013793&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
STORY Club and Lounge,association_or_organization,9654245577,https://www.instagram.com/storyclubgurgaon/,"The Westin, 1, Mehrauli-Gurgaon Rd, Sector 29, Gurugram, New Delhi, Haryana 122009, India",4.3,820,https://maps.google.com/?cid=14071336953442378773&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Ahuja Residency DLF Phase-II,guest_house,9289097564,https://ahujaresidences.com/hotels/ahuja-residency-dlf-phase-2/?utm_source=Google&utm_medium=GMB,"N3/36, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",4.6,807,https://maps.google.com/?cid=15229236252904847984&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
LG Best Shop - Mahadev Electronics,,9312653662,https://www.lg.com/in?utm_source=google&utm_medium=gmb,"Mahadev Electronics, F9/13A, DLF Phase 1, Golf Course Rd, Block F, DLF Phase 1, Sector 26A, Gurugram, Haryana 122002, India",4.7,743,https://maps.google.com/?cid=11818470983888899809&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
KFC,restaurant,7942726339,https://restaurants.kfc.co.in/kfc-kfc-arjangarh-metro-restaurants-arjangarh-new-delhi-327221/Home?utm_source=locator&utm_medium=googleplaces,"Shop No 1 Metro Station Gate No 2, Arjan Garh, Aya Nagar, New Delhi, Delhi 110047, India",4.8,741,https://maps.google.com/?cid=11528819486501381528&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
The Body Shop,cosmetics_store,9513443828,https://stores.thebodyshop.in/the-body-shop-cosmetics-store-nh-8-gurugram-257988/Home?utm_source=locator&utm_medium=googleplaces,"SN 18, Ground Floor, NH-8, near Toll Plaza, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",4.4,722,https://maps.google.com/?cid=2029590403053477815&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Limited Edt,shoe_store,9990115399,https://limitededt.in/,"Ambiance Mall, G-017, near DLF Phase 3, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",4.9,680,https://maps.google.com/?cid=11941108690179328911&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
BharatPe,corporate_office,8882555444,https://bharatpe.com/,"7th Floor, Tower C, DLF Cyber City, DLF Phase 2, Sector 24, Gurugram, Haryana 122002, India",2.4,660,https://maps.google.com/?cid=2639463733132939505&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Anytime Fitness,gym,9090109050,https://www.anytimefitness.com/en-in/locations/gurugram-haryana-in-1018,"2nd floor, Bestech Centre Point, A Block, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122002, India",4.5,617,https://maps.google.com/?cid=8147010200627815212&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Mahindra United Automobiles,car_dealer,7428980166,https://www.unitedautomobiles.com/,"No. 1000, Metro Station Arjan Garh, opposite side Pillar no. 188, next to Arjan Garh, Arjan Garh, Aya Nagar, New Delhi, Delhi 110047, India",4.9,610,https://maps.google.com/?cid=9268697310656767938&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Daksh Automobile : Car Service | Car Repair | Car Rubbing & Polishing | Car Wash | Dlf Gurgaon,car_repair,9711141471,https://biz-map-showcase.lovable.app/,"Shri Ram Market, new flyover, near Garden Estate, Sikanderpur, Nathupur, Sector 24, Gurugram, Haryana 122010, India",4.7,579,https://maps.google.com/?cid=5665248546002028267&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Tavisha Villa Golf Course Road MG road Gurgaon,guest_house,9999393158,http://www.tavishahotels.com/,"18, H-34 Rd, Block H, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",4,543,https://maps.google.com/?cid=17582597063564712555&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
The Gynae Clinic Dr Anjali Kumar,doctor,9810781931,,"C-1081A Sushant Lok Phase -1 Near Vyapar Kendra Market Behind Safal Mother Dairy Back Side Lane, Block C2, DLF Garden Villas, Sector 43, Gurugram, Haryana 122009, India",4.7,535,https://maps.google.com/?cid=10036329511853070810&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"Mercedes-Benz, T&T Motors, Gurugram Showroom",car_dealer,7400025000,https://mercedes-benz-india-locator.com/franchise-partner/mercedes-benz-t-t-motors-gurugram-showroom-mercedes-benz-dealer-golf-course-road-gurugram-564152/Home?utm_source=locator&utm_medium=googleplaces,"Unit No. G1, Global Foyer Mall, Golf Course Rd, Sector 43, Gurugram, Haryana 122002, India",4.2,534,https://maps.google.com/?cid=9120976059506127375&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Dr. Deepika Aggarwal,doctor,9810327133,https://drdeepikaaggarwal.com/,"A8 / 108, SAHARA GRACE CONDOMINIUM, Mehrauli-Gurgaon Rd, behind Sahara Mall, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",4.9,531,https://maps.google.com/?cid=1745081279145564786&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Effingut Brewpub Gurugram - India's most loved craft brew pub,brewery,9211455592,https://effingut.com/shop/,"2nd Floor, Golf Avenue 42, Golf Course Rd, Sector 42, Gurugram, Haryana 122009, India",4.4,522,https://maps.google.com/?cid=12960651888924109387&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Apple MacBook Repair Center,,9311237716,http://applerepairingcenter.com/,"Office - S 36, 23, Faridabad - Gurgaon Rd, Sikanderpur, DLF Phase 1, Gurugram, Haryana 122001, India",4.8,505,https://maps.google.com/?cid=10773256899257614038&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"Dr Gargi Taneja, MD Dermatology (AIIMS)",doctor,9220503194,https://drgargis.com/,"102 A, Basement, Arjun Marg, Golf Crse Rd, DLF Phase 1, Sector 26A, Gurugram, Haryana 122002, India",4.8,497,https://maps.google.com/?cid=4630070522404838766&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
RYBA -Turkish & Middle Eastern Kitchen,turkish_restaurant,9810543308,https://www.instagram.com/ryba.gurgaon/,"204, 2nd floor, Crosspoint Mall, Sector 28, DLF Phase IV, Gurugram, Haryana 122009, India",4.6,486,https://maps.google.com/?cid=11673415144395522255&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Blue heaven therapy at Homes,massage,9382989566,https://www.blueheaventherapyathomes.in/,"Sector 28, Chakkarpur, Sector 43, Gurugram, Haryana 122009, India",5,472,https://maps.google.com/?cid=7905553861131978807&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Burger Singh | Sushant Lok | Gurugram,fast_food_restaurant,8767121212,https://burgersinghonline.com/,"Shop UG-8, District Centre Point Building, Sushant Lok 1 Rd, Phase 1, Block A, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4,455,https://maps.google.com/?cid=17839890704102748836&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Lets Laundry,laundry,9911059059,,"26, Galli No. 15, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",4.4,450,https://maps.google.com/?cid=1951337755555448267&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Dr Tapasya Juneja Kapoor,dentist,9810825259,http://drtapasya.com/,"Tapasya Kapoor Dental Clinic 20, Dr, B - 9, DLF Phase 1, Sector 26A, Gurugram, Haryana 122002, India",5,443,https://maps.google.com/?cid=14132991700538210383&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Draavin Canteen,south_indian_restaurant,9220635151,https://www.draavincanteen.com/,"Draavin Canteen, Ground Floor 01, DLF Downtown 2, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",4.7,440,https://maps.google.com/?cid=713221448470713844&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
KOCA,restaurant,8448184111,https://kocaofficial.com/,"SCO4-7, Golf Avenue 42, Golf Course Rd, Sector 42, Gurugram, Haryana 122009, India",4.4,438,https://maps.google.com/?cid=2299398458542547363&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Coffee Island | HQ27,coffee_shop,8882151799,http://www.coffeeisland.in/,"HQ27 661, @, B Block Dr, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",4.8,437,https://maps.google.com/?cid=16070148152172232090&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Dr Pankaj Verma,doctor,7231031111,http://www.drpankajverma.in/,"G-49, Antara Care, Gulmohar Marg, Mushedpur, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",4.9,430,https://maps.google.com/?cid=560461277437901282&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Homedoc,medical_clinic,8851432687,https://www.homedoc.in/,"Whitecoats clinic Physician/Dentist/ENT/Physio/Max blood test/ECG), plot no 372/ P, Golf Crse Rd, above Whitecoats clinic, Sector 42, Gurugram, Haryana 122009, India",4.9,420,https://maps.google.com/?cid=6363521895568150290&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Shree Shirdi Sai Baba Mandir,hindu_temple,9999572949,,"Moulsari Ave, Near City Club, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",4.7,404,https://maps.google.com/?cid=15071074643230559480&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Prego,italian_restaurant,7290013903,http://www.westingurgaon.com/dining-prego,"The Westin, 1, Mehrauli-Gurgaon Rd, Sector 29, Gurugram, New Delhi, Haryana 122002, India",4.2,403,https://maps.google.com/?cid=15525967865706641838&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Siris 18,hotel,9818007965,,"18, Siris Rd, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",3.9,398,https://maps.google.com/?cid=13936441789979429255&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Rawls Salon,beauty_salon,9870430081,https://www.rawls.co.in/,"Plot no. 102-A, Arjun Marg, Phase -1, Urban estate, Golf Crse Rd, Block C, Sector 26A, Gurugram, Haryana 122002, India",4.9,385,https://maps.google.com/?cid=10248822959926275269&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
One Impression,service,9311124148,http://www.oneimpression.io/,"RMZ Infinity Park, Sector 18, Gurugram, Haryana 122015, India",4.3,376,https://maps.google.com/?cid=14349101119855059055&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Diya - The Leela Ambience Gurugram,restaurant,9717596088,https://www.theleela.com/the-leela-ambience-gurugram-hotel-residences/restaurants/diya?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gbp-leela-ambience-hotel-residences-gurugram-diya&utm_content=restaurant-website-click,"The Leela Ambience, 8, National Highway, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",4.4,367,https://maps.google.com/?cid=376657340641269920&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Kaze Living,grocery_store,9568372538,https://kazeliving.com/,"21B, Sector 18, Gurugram, Haryana 122015, India",3.6,359,https://maps.google.com/?cid=14718474998049987660&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Ursa Skin Clinic,doctor,7447407557,https://ursaskin.com/,"193, Hamilton Ct Rd, Sector 27, Gurugram, Haryana 122009, India",4.8,357,https://maps.google.com/?cid=5617689018576175377&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
