name,type,staff_needs,phone,phone_source,contact,source_note,website,rating,reviews,address,maps_url
"FabHotel Phoenix Hospitality - Hotel in DLF Phase 2, Gurgaon",Lodging / PG,"cleaner, cook, warden, guard",7042424242,google,,,https://www.fabhotels.com/hotels-in-gurgaon/fabhotel-phoenix-hospitality-wonxgsby.html?utm_source=GMB&utm_medium=organic&utm_campaign=GMB_Traffic,4.2,239,"28, M-1, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=7497602160717583904&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Fabhotel Rd Residency,Lodging / PG,"cleaner, cook, warden, guard",7042424242,google,,,https://www.fabhotels.com/hotels-in-gurgaon/fabhotel-r-d-residency.html?utm_source=GMB&utm_medium=organic&utm_campaign=GMB_Traffic,4.9,7,"57A, Akashneem Marg, DLF Phase 2, Sector 25, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=4001088021538626543&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"FabHotel Rivlet Residency - Hotel in DLF Phase 3, Gurgaon",Lodging / PG,"cleaner, cook, warden, guard",7042424242,google,,,https://www.fabhotels.com/hotels-in-gurgaon/fabhotel-rivlet-premium-iii.html?utm_source=GMB&utm_medium=organic&utm_campaign=GMB_Traffic,4.6,283,"37, Siris Rd, T Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=17243364627167371360&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"FabHotel SR 69 Posh - Hotel in DLF Phase 3, Gurgaon",Lodging / PG,"cleaner, cook, warden, guard",7042424242,google,,,https://www.fabhotels.com/hotels-in-gurgaon/fabhotel-sr-69-posh.html?utm_source=GMB&utm_medium=organic&utm_campaign=GMB_Traffic,4.3,84,"69, Siris Rd, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=4610400978680312329&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Fuji Ryokan Corporate Stays,Lodging / PG,"cleaner, cook, warden, guard",9818868200,google,,,,4.6,262,"T, 27/4, 27/4, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=7982654120543846969&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Homesphere Apartments by Aanandam Hospitality,Lodging / PG,"cleaner, cook, warden, guard",9871139797,google,,,https://aanandamhospitality.com/,4.5,26,"Building number 1, Lane, V-20, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=14874318913225349840&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Hotel Amazone Residency dlf phase 3 gurugram,Lodging / PG,"cleaner, cook, warden, guard",9871237434,google,,,http://www.gurugramhotel.com/,4.3,318,"37/8, near SHRI RAM SCHOOL, V Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=949030591530203101&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Hotel Amisa,Lodging / PG,"cleaner, cook, warden, guard",7568666455,google,,,,2,1,"34, Plot number 17, Late, Amisa, Block H, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=7067385528845621227&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Hotel コンフォートイン - 日本語のベストホテル,Lodging / PG,"cleaner, cook, warden, guard",7065271479,google,,,http://www.gurugramhotel.com/,4.5,8,"8, Lane Number V-37, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=8684425113262165313&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
MOD AVENUE,Lodging / PG,"cleaner, cook, warden, guard",9911999668,google,,,https://www.modhospitalitygroup.com/,4.6,461,"53, Moulsari Ave, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=1353275928496576162&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Pawan enterprises,Lodging / PG,"cleaner, cook, warden, guard",8882166078,google,,,,,,"gaon, opposite Kunal complex, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=8868984596627358305&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Purple Inn,Lodging / PG,"cleaner, cook, warden, guard",8088988711,google,,,,,,"F4H4+44X, Sikanderpur, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=14773817620757531565&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Ravi apartment,Lodging / PG,"cleaner, cook, warden, guard",8743000090,google,,,,4,4,"Jangra Bazar, Dundahera Village, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=3030838410741690831&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Roshan Apartments,Lodging / PG,"cleaner, cook, warden, guard",9654549408,google,,,,4,27,"F3RX+X5W, नया मोहल्ला मार्ग, Balveer Market, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=7989717347094620943&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Santosh Hotal &Tea stall,Lodging / PG,"cleaner, cook, warden, guard",7065563065,google,,,,,,"F3WH+WM7, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=17559511825049772493&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Siris 18,Lodging / PG,"cleaner, cook, warden, guard",9818007965,google,,,,3.9,386,"18, Siris Rd, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=13936441789979429255&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
STEPiNN ACME,Lodging / PG,"cleaner, cook, warden, guard",9899479622,google,,,,3,1,"S5/16, DLF PHASE-3, SECTOR 24, GURGAON Gurgaon, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=14685398098869341732&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Stok Palace Heritage Hotel,Lodging / PG,"cleaner, cook, warden, guard",9622827727,google,,,http://stokpalaceheritage.com/,5,2,"Ground Floor, U-26A/6, Qutub Enclave, White Town Houses, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=10817989639435138603&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
The Aldott Boutique Hotel,Lodging / PG,"cleaner, cook, warden, guard",9811013689,google,,,http://www.thealdott.com/,4.5,990,"81, Moulsari Ave, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=16258023425846428993&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
The Altruist Business Stays (DLF Phase 3),Lodging / PG,"cleaner, cook, warden, guard",9056088815,google,,,https://thealtruisthotels.com/gurugram/cyber-hub,4.6,366,"Plot No. 70, The Altruist Business Stays, Siris Rd, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=7000718076692555287&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
The Cozy Corner,Lodging / PG,"cleaner, cook, warden, guard",9636870519,google,,,,5,1,"S-49/16-17, S Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=15535409587682323281&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
The Lalit Vibes,Lodging / PG,"cleaner, cook, warden, guard",9917280722,google,,,,5,39,"57A, Akashneem Marg, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=3980615322524729434&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Tipsyy Inn Suites 006,Lodging / PG,"cleaner, cook, warden, guard",8447028439,google,,,,3.4,7,"DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=696296408331568482&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Trinity Corporate Suites,Lodging / PG,"cleaner, cook, warden, guard",9811190257,google,,,https://trinitycorporatesuites.com/,4.1,545,"Suncity Trade Tower, Old Delhi Gurugram Rd, adjoining Candor Techspace, opposite Udyog Vihar, Sector 21, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=3306069510908787084&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Wowhotelz,Lodging / PG,"cleaner, cook, warden, guard",7834811100,google,,,,,,"Oppt, oakwood Apartment, DLF Phase : 2, 49, Akashneem Marg, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=7914208311001999209&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Zen Flats 1rk Fully Furnished Independent Balcony flats,Lodging / PG,"cleaner, cook, warden, guard",8882448888,google,,,,4.5,8,"8, Galli No. 15, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=10943634660660502643&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
FabHotel Happy Feet,Guest House,"cleaner, cook, warden, guard",7042424242,google,,,https://www.fabhotels.com/hotels-in-gurgaon/fabexpress-happy-feet.html,3.8,13,"16/1, Police Station, nearby Phase 3, V Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=1084289481941446287&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
HARSHITA HOSPITALITY SERVICES,Guest House,"cleaner, cook, warden, guard",9910799186,google,,,,4,17,"57-A, Akashneem Marg, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=567838696316283129&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Tavisha Villa Golf Course Road MG road Gurgaon,Guest House,"cleaner, cook, warden, guard",9999393158,google,,,http://www.tavishahotels.com/,4,535,"18, H-34 Rd, Block H, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=17582597063564712555&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
AIHP Cyber Greens 2,Apartment Society,"cleaner, guard, gardener, property mgr",9821316135,google,,,https://www.aihp.in/,4.1,11,"Plot No. 484-485, Phase III, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=8764498638921450505&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Alcove Service Apartments,Apartment Society,"cleaner, guard, gardener, property mgr",8951089510,google,,,https://www.alcove.co.in/,5,1,"Block M 2, 33/34 DLF city phase 2, Gurgaon, Mushedpur, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=4748547633348341941&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Aman Apartments,Apartment Society,"cleaner, guard, gardener, property mgr",9999086470,google,,,https://www.amanappartment.in/,,,"14/6, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=10812642413373702266&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Ambience Caitriona,Apartment Society,"cleaner, guard, gardener, property mgr",9818734483,google,,,http://creacionsambience.in/,4.6,578,"NH 8 Next to Ambience Mall, AMBIENCE CAITRIONA, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=9811599492153687913&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Ambience Creacions,Apartment Society,"cleaner, guard, gardener, property mgr",9818734483,google,,,http://www.creacionsambience.in/,4.4,311,"Plot 1, Rao Gajraj Singh Marg, Sector 22A, Sector 22, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=6595930019848283864&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Antara Care Home,Apartment Society,"cleaner, guard, gardener, property mgr",7314377609,google,,,https://old-age-homes.antaraseniorcare.com/care-homes/gurugram/dlf-phase-/antara-care-homes-in-dlf-phase-2-gurugram--5lNbAe/home,4.5,133,"49, Gulmohar Marg, opp. Airtel building, Mushedpur, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=9521333312496016000&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Anya Home Massage & Spa,Apartment Society,"cleaner, guard, gardener, property mgr",9354688592,google,,,https://body-spa.in/anya-body-spa,4.9,123,"SCO-24C, 24B, Rd Number 44, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=4460751544160337023&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Apollo 24|7 Lab Tests Near Me | Sector 25 | Home collection | Gurgaon,Apartment Society,"cleaner, guard, gardener, property mgr",8048851037,google,,,https://www.apollo247.com/lab-tests-city/gurgaon,3.1,17,"Shop No: 107, Central Arcade, DLF Phase 2, Sector 25, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=17170884826024377543&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"Beyond Just Work - Coworking Space Udyog Vihar | Shared Office | Private Cabin | Dedicated Seats & Desk, At Udyog Vihar",Apartment Society,"cleaner, guard, gardener, property mgr",8920882191,google,,,https://beyondjustwork.com/explore/bjw-pallette-center,4.1,312,"Plot 378-379, Udyog Vihar Phase 4 Rd, near nokia building, Electronic City, Phase IV, Udyog Vihar, Sector 19, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=4092968616455480545&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
CBR Properties | Buy | Sell | Rent flat villa Rooms Shops,Apartment Society,"cleaner, guard, gardener, property mgr",9958286606,google,,,,5,7,"Akashneem Marg, DLF Phase 2, Sector 25, haryana, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=14185519444019999148&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Ch Om Parkash’s Apartment,Apartment Society,"cleaner, guard, gardener, property mgr",9319701700,google,,,,1,1,"tota ram chock, Nathupur, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=727242193350815136&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
CHANDA ESTATE,Apartment Society,"cleaner, guard, gardener, property mgr",9811940340,google,,,https://chandaestate.in/,4.4,41,"24, Bougainvilla Marg, DLF Phase 2, Sector 25, Gurugram, Shahpur, Haryana 122002, India",https://maps.google.com/?cid=1433815439193310022&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
CHIRAG ESTATE,Apartment Society,"cleaner, guard, gardener, property mgr",9717009994,google,,,,5,6,"6, Sector 26A, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=9493164736442006778&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Essel Prime (Essel Tower Club),Apartment Society,"cleaner, guard, gardener, property mgr",9911114258,google,,,http://www.siyaevent.com/,4.1,223,"229, Indian Airlines Pilots Society, Sushant Lok Phase I, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=16709182036653269725&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Essel Towers,Apartment Society,"cleaner, guard, gardener, property mgr","9654128022, 9654128173",web-verified,Estate Mgr Kurian Chacko 9654128022; Dy Mgr Pankaj Kumar 9654128173,etrwa.in/ContactUs.aspx (official RWA site),,4.6,31,"Essel Tower, Mehrauli-Gurgaon Rd, Indian Airlines Pilots Society, Sushant Lok Phase I, Gurugram, Haryana 122008, India",https://maps.google.com/?cid=3959568292577960795&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
