name,category,staff_potential,phone,website,rating,reviews,address,maps_url
220KV S/Stn HVPNL,government_office,LOW,,,5,2,"G37Q+G7R, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=4204925281691104098&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
22Feet Tribal WW,corporate_office,MED,,http://22feettribalworldwide.com/,,,"Platinum tower, Udyog Vihar, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=9404029179216449778&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
23/26 Pink Town House,apartment_complex,LOW,,,5,1,"23/26, Pink Town House Rd, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=12175763904730666188&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"232, Saraswati Vihar",apartment_complex,LOW,,,5,1,"F3FM+945, Nathuram Market, Saraswati Vihar, Chakkarpur, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=13399897080751512786&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
24 Seven Days,service,LOW,099909 91120,https://24sevendays.com/,3.8,121,"S-31, LGF 13 & 14, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=10029140803784895187&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
249 (-)ve energy black magic practice house,housing_complex,LOW,,,1,1,"F3FM+92M, Nathuram Market, Saraswati Vihar, Chakkarpur, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=7422431349024464890&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
24SEVEN MINI,convenience_store,MED,092894 86313,https://www.24-seven.in/,3.9,16,"Ambiance Mall, NH2, opposite NHAI Office Before, Rajokri Village, Rajokri, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=757240271685315839&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
29solutions,association_or_organization,LOW,,,5,1,"L 122001, 27/12, Mehrauli-Gurgaon Rd, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=6391205719678603967&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
2Bytes Digital Consulting,service,LOW,,https://2bytes.in/,4.3,3,"2nd Floor A Block, A24/21, DLF Phase 1, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=3629245116291187783&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
2MR post Gurugram,lodging,HIGH,,,5,1,"88, Jaipur - Delhi Expy, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=15709533013710171979&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
2nd home residency,guest_house,HIGH,,,5,1,"Park Hospital, IDPL Twp, Sector 22A, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=9077612158381757149&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
2solution : Website Designing and Digital Marketing Company Near You.,,LOW,062010 60886,http://2solution.in/,4.9,31,"Cybiz Centre, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=6025620155466380448&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
2Xcell,consultant,LOW,,http://2xcell.in/,3.6,11,"5, Dlf Qutub Enclave, L-7, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=3472235032425981480&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
3/12,bakery,HIGH,,,,,"L-3/12, L-3, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=1898199094624384367&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
37 @ SIRIS ROAD,hotel,HIGH,098105 00332,http://www.37sirisroad.com/,4.2,117,"Block T, 37, Siris Rd, near City Club, T Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=6230928968931805709&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
3Fate Technologies pvt ltd Corporate office,corporate_office,MED,,http://www.showroomb2b.com/,,,"273, Udyog Vihar II Rd, Udyog Vihar, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=17080194920472928094&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
3M India Limited,corporate_office,MED,,https://www.3mindia.in/3M/en_IN/company-in/,4.4,132,"Ground Floor, RMZ Infinity Work, NH8, Sector 18, Gurugram, Shahpur, Haryana 122015, India",https://maps.google.com/?cid=3589494580590057299&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
3T Logistics Godown,storage,LOW,,,4.4,5,"3, Maruti Udyog, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=12272834352242726192&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
675 Ashish Room,association_or_organization,LOW,,,,,"F3PF+WM4, Sector 18, Sarhol, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=13171152346602063064&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
6string Guitar class,school,MED,,,,,"21/21 4th floor, V Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=6173183785450682741&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
7 Ocean - The Fitness Club,fitness_center,HIGH,070078 00002,http://7ocean.club/,4.7,241,"Metro Station, A-81, Mehrauli-Gurgaon Rd, Sector 28, Sushant Lok Phase I, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=13532042256246769816&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
700B,condominium_complex,LOW,,,,,"Beverly Park-1, Mehrauli-Gurgaon Rd, Sector 28, Sushant Lok Phase I, Gurugram, Sarhol, Haryana 122009, India",https://maps.google.com/?cid=4203897920223877807&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"91Springboard DLF Cyber City, Gurugram",coworking_space,LOW,095975 19191,https://www.91springboard.com/co-working-office-space-gurugram/91springboard-platinum-dlf-cyber-city/,4.1,16,"DLF Building No. 7A, 7A, DLF Cyber City, DLF Phase 2, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=11494166623833083504&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
A 15/2 DLF CITY PHASE 1,service,LOW,,,,,"15/2, DLF Phase 1, 1, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=8863134195919247744&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
A 16/2 Dlf phase 1,apartment_complex,LOW,,,4,4,"A, DLF Phase 1, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=6961267585458807473&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
A 205A,housing_complex,LOW,,,,,"F3GG+JV6, Sushant Lok 1 Rd, Block A, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=7061286683322752275&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
A B PAYMENT,store,MED,096435 59896,,5,1,"near GOVT school, Sarhaul, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=11211016685733227193&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
A DOT by GNH,event_venue,HIGH,096503 94476,http://www.gnhhotels.com/,4.6,4958,"Golf Dr, behind The Leela Hotel, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=4489396273289356953&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
A One Wood Furniture,home_goods_store,MED,,,5,1,"Mehrauli-Gurgaon Rd, Sikanderpur, Nathupur, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=1108800913751146117&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
A One Wood Furniture,wholesaler,LOW,097181 57622,https://a-one-wood-furniture.grexa.site/,3.5,46,"in front of Flyover Sikanderpur, Furniture Market, Nathupur, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=7278580624074852046&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
A rs,post_office,MED,,,1,1,"Totaram Chowk, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=16832440407274990196&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
A to Z Business Point (Paint Shop),building_materials_store,MED,093125 77336,,,,"In front of Sikanderpur Rapid Metro Station, Pillar no. P, 15A, near Wine Shop, Block H, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=17902041744843945678&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
A V Glass & Aluminium,,LOW,,,5,1,"Shop, N-1, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=4271124701571617819&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
A-46/9,service,LOW,,,,,"BLOCK-A, A46/9, Sector 28, DLF Phase 1, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=6812835376234894294&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
A.k Sujit General Store,general_store,MED,099903 10134,,5,2,"near Number Dar House, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=18169304703913951305&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
A.R.Electricals,wholesaler,LOW,086076 36446,,2.3,3,"METRO,PILLAR NO 63, SHOW ROOM, 1, Mehrauli-Gurgaon Rd, Block H, DLF Phase 1, Sector 26, Sikanderpur Ghosi, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=5936372353821680575&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
A.R.l transport,transportation_service,LOW,,,5,2,"Vpo- narsinghpur NH-48 delhi -jaipur Expressway, near DLF tower, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=2439031173336787585&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
A1 classes,,LOW,,,,,"Golf Course Rd, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=14964705872349684643&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
A1 Dubai Hotels,hotel,HIGH,0124 501 7293,https://www.a1dubaihotels.com/about-us.html,1,1,"Plot No. 38, Electronic City, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=303045204851812099&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
A231 Sushant Lok 1 A block,apartment_complex,LOW,,,,,"A-Block, Block A, Sushant Lok Phase I, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=12746282788956881316&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
A36/5 DLF Phase i,housing_complex,LOW,,,,,"A-36/5, Street Number 36, near Kunskapskolan, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=9309819835311304350&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
AA Electro Magnetic Test Laboratory Private Limited,,LOW,0124 414 5343,http://www.aaemtlabs.com/,4.5,46,"174, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=2797390554354277271&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Aadhar Hotel-Best Hotel In Gurgaon-Best Guest House In Gurgaon-Luxury Rooms In Gurgaon,hotel,HIGH,099999 28884,https://www.anupamhoteliersltd.com/aadhar-gurgaon/,4.1,284,"Metro Station, 26, J-10, near Sikanderpur Road, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=17101845484185651715&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"Aakash Educational Services Limited - Corporate Office - Udyog Vihar, Gurugram",corporate_office,MED,011 4762 3456,https://iacst.aakash.ac.in/iacstexam/?utm_source=google_local&utm_medium=organic,4.1,575,"Plot No. 13, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=1782991545618665779&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Aakash Service Provider,consultant,MED,070179 30985,,,,"Maruti Udyog, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=16598796502446083858&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Aarem Tradex Pvt. Ltd.,manufacturer,LOW,011 4056 8916,https://www.aaremtradex.com/,,,"A3 Plote no, 3, Maruti Udyog, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=16911264288100698009&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Aarknine Healthcare,finance,MED,,http://www.aarknine.com/,,,"270, Phase-2, IDPL Twp, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=1939873125795674036&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Aarogya Healthcare Clinic,health,LOW,,,5,3,"no. 1, Main 40 futa road, Satguru Enclave Rd, opp. maruti Gate, Maruti Udyog, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=9517664933012018362&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Aarohi Communication,cell_phone_store,MED,093108 07166,https://www.instagram.com/Aarohi.cmm/222104,5,84,"Shop no.117, Old Delhi Rd, near wine shop, Dundahera Village, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=5242236027195310255&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
AART Cab Rentals Private Limited Delhi,,LOW,,https://www.aartcab.com/,,,"Rajokri Village, Rajokri, New Delhi, Delhi 110038, India",https://maps.google.com/?cid=11740092908085311789&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Aarti Nursing Services,health,LOW,,,,,"309-310, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=17111100424121571179&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Aarvi fast food and restaurant,fast_food_restaurant,HIGH,,,,,"Shop No. 02, Hanuman Mandir, Old Delhi Gurugram Rd, Dundahera Village, Sector 21, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=16738269845497529115&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Aasara Farms,farm,LOW,,,4.4,16,"51, Jaipur - Delhi Expy, D Block, Kapas Hera Estate, New Delhi, Delhi 110097, India",https://maps.google.com/?cid=15777993958485376501&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Aastrostar - Sarrita Z Goyaal,astrologer,LOW,092058 50966,https://aastrostar.in/,5,2,"1360, Mehrauli-Gurgaon Rd, Maruti Vihar, Maruti Housing Colony, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=15162626333850387231&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Aavaas: Stays by Raag,bed_and_breakfast,HIGH,,,4.8,11,"A-55/8, Sector 28, DLF Phase 1, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=15651997767994058011&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Aayush Life Health Clinic,medical_clinic,LOW,081306 03353,,4,1,"16, Dundahera Village, Sector 20, Gurugram, New Delhi, Haryana 122016, India",https://maps.google.com/?cid=10326146576277254861&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
AAYUSH RESIDENCE,hotel,HIGH,,,,,"G32F+VFR, IDPL Twp, Sector 22A, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=6452636378185240067&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Abeer Media Private Limited,association_or_organization,LOW,0124 426 8016,,4.7,7,"697, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=17398063208981905895&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ABHINANDAN PAL RAPIDO UBER SERVICE,service,LOW,083779 48595,,,,"Shop No -76, No -2, near Metro Station Gate, Sikanderpur, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=15231114033883515481&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Abhinay shakya,hotel,HIGH,,,3.3,7,"243, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=4058808864552793026&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Abhishek Group Corporate Office,corporate_office,MED,,https://www.abhishekgroup.co.in/,4.8,8,"Plot No 381, Electronic City, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=3423449789673571754&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Abu Dhabi,corporate_office,MED,,,,,"2055, Block B, Phase V, Mahipalpur Village, Mahipalpur, New Delhi, Gurugram, Delhi 110037, India",https://maps.google.com/?cid=13589850376308852651&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Accenture,consultant,LOW,0124 490 4000,,4.4,41,"Tower B, Sp Infocity, Plot No. 243, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=17451655059473795038&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Accllan Meditek,health,LOW,093500 11682,http://www.accllanmeditek.com/,5,2,"444, Third Floor, Tower B, Ansal Corporate Plaza, DLF Cyber City, DLF Phase 2, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=922297404204104665&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
AccuBooks Outsourcing,consultant,MED,081309 48864,http://accubooks.in/,5,1,"K11, Guest House, 2, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=72026712731342622&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ACCURATE CONSULTATIONS,corporate_office,MED,095992 24488,,5,1,"10-1st floor, Udyog Vihar, Phase 1- Sec 20, opp. Plot No. 130, Dundahera Village, Sector 20, Dundahea Gurgaon, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=9642040434223662220&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ACE 7 Hotel and Residence,hotel,HIGH,070421 58001,https://ace7.in/,4.7,95,"69A, Siris Rd, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=1309749400194949465&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Ace Pipeline Gurgaon,corporate_office,MED,,,5,4,"A25/, 6, Shahtoot Marg, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=5056660550200370366&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Acebox Ventures Private Limited,corporate_office,MED,,,5,2,"1st Floor, Plot No. 273, Udyog Vihar II Rd, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=1363111626088539816&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
