name,category,primary_type,mobile,website,address,rating,reviews,maps_url
The Cake Studio by Menakshi,cafe,bakery,9910489454,https://thecakestudiobymenakshi.com/,"Beverly Park-1, 608, Mehrauli-Gurgaon Rd, Sector 28, Sushant Lok Phase I, Gurugram, Haryana 122002, India",4.9,125,https://maps.google.com/?cid=481846792349986150&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Baker By Chance Office,cafe,bakery,9599151070,https://www.bakerbychance.com/,"Plot no 385, Udyog Vihar Phase 4 Rd, Electronic City, Phase IV, Udyog Vihar, Sector 19, Gurugram, Haryana 122015, India",4.1,85,https://maps.google.com/?cid=8137923202514800637&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Fresh Bakes Gurgaon,cafe,bakery,9891350735,,"Rapid Metro Station, 579, Golf Course Rd, behind Sec 43, Sector 43, Gurugram, Haryana 122009, India",4.9,63,https://maps.google.com/?cid=4620666767386862446&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Cheesecake and Co.,cafe,bakery,8076245510,,"no 3, Sushant Lok 1 Rd, Block A, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",2.8,58,https://maps.google.com/?cid=9941711801118184587&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Dohful Cookies & Coffee,cafe,bakery,7045160633,http://www.dohful.com/,"G33Q+8QP, Phase III, Udyog Vihar, Sector 20, Gurugram, Haryana 122008, India",4,55,https://maps.google.com/?cid=8896500125498529025&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Cafe OMI,cafe,cafe,9811008684,http://www.thealdott.com/,"The Aldott, 81, Moulsari Ave, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",4.5,51,https://maps.google.com/?cid=4956889282761145308&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Dough Cream Heaven,cafe,bakery,9220895558,https://d-doughcreamheaven970.dotpe.in/,"DLF Phase IV, Gurugram, Haryana 122009, India",4.7,35,https://maps.google.com/?cid=13912550274150286057&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Sip & Savour Cafe,cafe,cafe,8930302025,,"U15/30, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",5,33,https://maps.google.com/?cid=4732070524149102581&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Avanços Coffee Co. (Specialty Coffee Studio),cafe,cafe,9619051704,https://avancoscoffee.com/,"Ground Floor, 378-379, Electronic City, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",4.8,26,https://maps.google.com/?cid=16350112867204062609&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Cafe aroma beans,cafe,coffee_shop,9958411163,,"Road no 1, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",4.9,22,https://maps.google.com/?cid=2897287860888420269&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Simba’s Barkery- PET Bakery,cafe,dog_cafe,8800283344,https://simbasbarkery.in/,"IDPL Twp, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",5,15,https://maps.google.com/?cid=13933193203044742409&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Wagh Bakri Tea World,cafe,tea_house,9560244799,,"Ground Floor, Ambience Mall, K, Hawker Street, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",4.2,15,https://maps.google.com/?cid=4421206874885068741&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Blissful Bites by Juhie,cafe,bakery,9891746380,,"14, V-2, V Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",4.8,14,https://maps.google.com/?cid=8652780845392911685&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Oval bean cafe,cafe,cafe,8468813866,https://ovalbeancafe.com/,"Narayana Superspeciality Hospital, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",4.4,14,https://maps.google.com/?cid=1055038408341662988&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Star Cafe,cafe,cafe,7898612847,,"Basement Market, 107, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",4.5,13,https://maps.google.com/?cid=12569511867653410113&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Cafe Amour,cafe,cafe,9990060656,http://cafeamour.in/,"Golf Course Rd, Block F, DLF Phase 1, Sector 26A, Gurugram, Haryana 122002, India",4,9,https://maps.google.com/?cid=15858501452827418779&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
CakeZone,cafe,bakery,9880125283,https://www.cakezone.com/,"GROUND FLOOR, PLOT NO.3807, DLF PHASE-4, IVY APARTMENTS, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",2,8,https://maps.google.com/?cid=13107283245278524856&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"Keventers - DLF Cyber Park, Gurugram",cafe,cafe,9717018663,,"Cyber park, Phase III, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",3.9,8,https://maps.google.com/?cid=13008756771375548786&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Yogi Tea Stall And Cold Drinks,cafe,tea_store,9358254967,,"street 20, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",5,3,https://maps.google.com/?cid=9995657943837758247&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Arsh Foods And Beverages,cafe,cafe,9250927781,,"67/223, behind HUDA MARKET, Sector 17 A, Sector 42, Gurugram, Haryana 122009, India",5,2,https://maps.google.com/?cid=9085132885094466459&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Galib Khan,cafe,bakery,9319347006,,"38, Krishna Market Rd, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",3.5,2,https://maps.google.com/?cid=4543967396578221598&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
csc center & Sah cyber cafe,cafe,internet_cafe,9958220124,,"k2/1, Dakshin Marg, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",5,2,https://maps.google.com/?cid=5367555491193072974&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
MUM CAFE & BAKERY,cafe,bakery,9870241130,,"24, Galli No. 15, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",5,2,https://maps.google.com/?cid=14406691046387749830&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
First Coffee | DLF Atrium,cafe,cafe,9217356974,https://nearme.firstcoffee.co.in/first-coffee-dlf-atrium-48094/home?utm_source=GBP,"Tower 3, Ground Floor, DLF Phase III Atrium Place, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",5,2,https://maps.google.com/?cid=10105880570471587597&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Om Prakash Mandal,cafe,bakery,7065688663,,"5, Balveer Market, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",5,1,https://maps.google.com/?cid=10481617225190059216&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
On The Go | Downtown 4,cafe,cafe,9220484888,,"GROUND FLOOR, DLF DOWNTOWN, 4, Sector 25A, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122001, India",5,1,https://maps.google.com/?cid=17796248266087076046&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Harsh baker,cafe,bakery,7900448541,https://harshrao.com/,"near tikona park, DLF Phase 2, Sector 25, Sarhol, Gurugram, Haryana 122002, India",,,https://maps.google.com/?cid=7020085316491892027&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Shree Shyam Cyber Cafe,cafe,auto_parts_store,9254203015,,"Shop No 04, Sarhaul, Sector 18, Gurugram, Haryana 122015, India",,,https://maps.google.com/?cid=12278919493996985495&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
LAKSHMI CAKE SHOP,cafe,bakery,9354355278,,"Nathupur, Sector 24, Gurugram, Haryana 122010, India",,,https://maps.google.com/?cid=15091629742826620727&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Deepak Vyas,cafe,cafe,9079161849,,"Shop No.64, Main Market, Sarhaul, Sector 18, Gurugram, Haryana 122015, India",,,https://maps.google.com/?cid=15855923030011707324&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Avinash,cafe,cafe,7508399698,,"Shop No. 94, Main Market, Sarhaul, Sector 18, Gurugram, Haryana 122015, India",,,https://maps.google.com/?cid=1931854751443030811&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Café Coffee Day,cafe,cafe,9312875369,https://www.cafecoffeeday.com/store-locator/haryana/gurgaon/cyber-city/dlf-6-tower,"6, Tower, A, DLF Building, near Sdlf Assets Ltd, DLF Cyber City, DLF Phase 3, Sector 24, Gurugram, Haryana 122001, India",,,https://maps.google.com/?cid=5680387266478638578&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Belladonna Crumbs,cafe,bakery,9810134939,,"W4/9D, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",,,https://maps.google.com/?cid=18402746360737892208&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Club Riviera by FNP Venues,club,wedding_venue,7827812345,https://www.fnpvenues.com/wedding-venues-gurgaon/club-riviera/,"NH - 8, Golf Dr, behind the leela Hotel Ambience, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",4.5,1998,https://maps.google.com/?cid=11325007856856792892&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Essel Prime (Essel Tower Club),club,association_or_organization,9911114258,http://www.siyaevent.com/,"229, Indian Airlines Pilots Society, Sushant Lok Phase I, Gurugram, Haryana 122009, India",4.1,226,https://maps.google.com/?cid=16709182036653269725&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
C.B.S. Akash Health Club,club,gym,9582261309,,"F3RX+R9X, नया मोहल्ला मार्ग, near primary school, CBS, नाथूपुर, सेक्टर २४, गुरुग्राम, हरियाणा 122002, India",3.9,149,https://maps.google.com/?cid=6793889674815729688&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
X Live,club,night_club,8448444679,,"8th Floor, Global Foyer Mall, Sector 43, Gurugram, Haryana 122009, India",3.9,141,https://maps.google.com/?cid=832375885934522853&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Gurugram Dronacharya Toastmasters Club,club,non_profit_organization,9871094179,https://www.facebook.com/share/17MiCpohP5/,"Soch Hall, Sustainable Oasis, near Roots Cafe, Sector 29, Gurugram, Haryana 122002, India",5,10,https://maps.google.com/?cid=8232385453229687169&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
PRITHVI'S FITNESS CLUB,club,gym,9540465522,,"near AXIS BANK ATM, Sarhaul, Sector 18, Gurugram, Haryana 122015, India",4.7,7,https://maps.google.com/?cid=10172248031686160966&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Sarikas Art Club,club,educational_institution,9810463863,,"142 4th floor, Akashneem Marg, DLF Phase 2, DLF2, Gurugram, Haryana 122002, India",5,3,https://maps.google.com/?cid=10667251110369044825&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
The Bambooshoots Club,club,clothing_store,9456995876,https://bambooshootsclub.com/,"Floor No : 1st Floor, Building No: 7311, DLF Phase IV, Gurugram, Haryana 122009, India",,,https://maps.google.com/?cid=13594065016534632660&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
SHIVA KUMAR BLINKIT STORE,darkstore,child_care_agency,8252869544,,"Shop No -45, near Metro Station, Sikanderpur, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",,,https://maps.google.com/?cid=16020599315152933791&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Saltstayz Premier,hotel,hotel,8800027657,https://saltstayz.com/hotels/gurgaon/saltstayz-premier-galleria-market-and-sector-27,"Plot no 200 P, Sector 27, Gurugram, Haryana 122009, India",4.8,2125,https://maps.google.com/?cid=1628512630843833247&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Saltstayz Express - Golf Course Road & DLF Phase-1,hotel,hotel,9599199605,,"Plot No. 75, Metro, Global, Foyer Mall, Golf Crse Rd, near DLF Phase-1, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",4.7,2007,https://maps.google.com/?cid=16920317736509926552&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"Lime Tree Hotel Sushant Lok Gurgaon at IFFCO Metro close to Leisure Valley , Sector 29",hotel,hotel,9667079001,https://www.limetreehotels.com/sushant-lok-hotel-in-gurgaon/,"A-587, Sushant Lok Phase-1 Sector -28, Gurgaon, Block A, Sushant Lok Phase I, Sector 43, Delhi NCR, Gurugram, Haryana 122009, India",4.5,1136,https://maps.google.com/?cid=12158555094538136318&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Saltstayz Premier,hotel,hotel,8800012701,https://saltstayz.com/hotels/gurgaon/saltstayz-premier-golf-course-road-and-sector-42,"Plot No. 780, Golf Crse Rd, Sector 42, Gurugram, Haryana 122009, India",4.8,1085,https://maps.google.com/?cid=6612247606630129903&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Siris 18,hotel,hotel,9818007965,,"18, Siris Rd, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",3.9,398,https://maps.google.com/?cid=13936441789979429255&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Enkay Residency V Block,hotel,lodging,9667984441,http://www.enkayresidency.com/,"V-39/18 & 19, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",4.2,353,https://maps.google.com/?cid=14663836967261945784&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
The Woodbury,hotel,hotel,9999071320,http://thewoodbury.in/,"1, Kusum Marg, G Block, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",4.5,319,https://maps.google.com/?cid=12687338478839678924&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
FabHotel Rivlet Residency,hotel,hotel,7042424242,https://www.fabhotels.com/hotels-in-gurgaon/fabhotel-rivlet-premium-iii.html?utm_source=GMB&utm_medium=organic&utm_campaign=GMB_Traffic,"37, Siris Rd, T Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",4.6,287,https://maps.google.com/?cid=17243364627167371360&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"Bedchambers Serviced Apartments, DLF Cybercity Gurgaon",hotel,lodging,8588888655,https://bedchambers.in/Apartments/bedchambers-serviced-apartments-dlf-cybercity-gurgaon/,"V40, 1, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",4.9,265,https://maps.google.com/?cid=4838707718266024628&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
