name,type,staff_needs,phone,phone_source,contact,source_note,website,rating,reviews,address,maps_url
Purple Inn,Lodging / PG,"cleaner, cook, warden, guard",080889 88711,google,,,,,,"F4H4+44X, Sikanderpur, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=14773817620757531565&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Ravi apartment,Lodging / PG,"cleaner, cook, warden, guard",087430 00090,google,,,,4,4,"Jangra Bazar, Dundahera Village, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=3030838410741690831&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Roshan Apartments,Lodging / PG,"cleaner, cook, warden, guard",096545 49408,google,,,,4,27,"F3RX+X5W, नया मोहल्ला मार्ग, Balveer Market, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=7989717347094620943&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Royal Residence On Mg Road,Lodging / PG,"cleaner, cook, warden, guard",0124 437 7791,google,,,,4,440,"Plot No: 10, 10, Mehrauli-Gurgaon Rd, opp. Sahara Mall, j block, Sector 28, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=9962572093314416414&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Santosh Hotal &Tea stall,Lodging / PG,"cleaner, cook, warden, guard",070655 63065,google,,,,,,"F3WH+WM7, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=17559511825049772493&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Siris 18,Lodging / PG,"cleaner, cook, warden, guard",098180 07965,google,,,,3.9,386,"18, Siris Rd, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=13936441789979429255&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
STEPiNN ACME,Lodging / PG,"cleaner, cook, warden, guard",098994 79622,google,,,,3,1,"S5/16, DLF PHASE-3, SECTOR 24, GURGAON Gurgaon, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=14685398098869341732&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Stok Palace Heritage Hotel,Lodging / PG,"cleaner, cook, warden, guard",096228 27727,google,,,http://stokpalaceheritage.com/,5,2,"Ground Floor, U-26A/6, Qutub Enclave, White Town Houses, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=10817989639435138603&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
The Aldott Boutique Hotel,Lodging / PG,"cleaner, cook, warden, guard",098110 13689,google,,,http://www.thealdott.com/,4.5,990,"81, Moulsari Ave, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=16258023425846428993&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
The Altruist Business Stays (DLF Phase 3),Lodging / PG,"cleaner, cook, warden, guard",090560 88815,google,,,https://thealtruisthotels.com/gurugram/cyber-hub,4.6,366,"Plot No. 70, The Altruist Business Stays, Siris Rd, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=7000718076692555287&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
The Cozy Corner,Lodging / PG,"cleaner, cook, warden, guard",096368 70519,google,,,,5,1,"S-49/16-17, S Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=15535409587682323281&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
The Lalit Vibes,Lodging / PG,"cleaner, cook, warden, guard",099172 80722,google,,,,5,39,"57A, Akashneem Marg, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=3980615322524729434&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
The Legend,Lodging / PG,"cleaner, cook, warden, guard",0124 404 4715,google,,,http://www.thelegend.in/,3.7,10,"C-1033, First Floor, Sushant Lok - 1, Block H, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=7336058684433865826&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"The Oberoi, Gurgaon",Lodging / PG,"cleaner, cook, warden, guard",0124 483 1234,google,,,https://www.oberoihotels.com/hotels-in-gurgaon/?utm_source=GMBlisting&utm_medium=organic,4.7,14160,"443, Shankar Chowk Rd, opposite Metro Station, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=18383545942659002468&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Tipsyy Inn Suites 006,Lodging / PG,"cleaner, cook, warden, guard",084470 28439,google,,,,3.4,7,"DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=696296408331568482&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Townhouse by OYO T Block Sector 24,Lodging / PG,"cleaner, cook, warden, guard",0124 620 1784,google,,,https://www.oyorooms.com/298010/,4.5,132,"T-1/1, Plot No, Siris Rd, DLF Phase 3, Sector 24, Gurugram, Haryana 122018, India",https://maps.google.com/?cid=13153704496529740519&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Trinity Corporate Suites,Lodging / PG,"cleaner, cook, warden, guard",098111 90257,google,,,https://trinitycorporatesuites.com/,4.1,545,"Suncity Trade Tower, Old Delhi Gurugram Rd, adjoining Candor Techspace, opposite Udyog Vihar, Sector 21, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=3306069510908787084&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"Welcomhotel by ITC Hotels, Delhi - Gurugram Highway, Delhi",Lodging / PG,"cleaner, cook, warden, guard",011 4232 0101,google,,,https://www.itchotels.com/in/en/welcomhoteldelhi,4.8,1508,"Gurgaon - Delhi Expy, near Toll Plaza, D Block, Kapas Hera, New Delhi, Delhi 110097, India",https://maps.google.com/?cid=8078023970420533335&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Wowhotelz,Lodging / PG,"cleaner, cook, warden, guard",078348 11100,google,,,,,,"Oppt, oakwood Apartment, DLF Phase : 2, 49, Akashneem Marg, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=7914208311001999209&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Zen Flats 1rk Fully Furnished Independent Balcony flats,Lodging / PG,"cleaner, cook, warden, guard",088824 48888,google,,,,4.5,8,"8, Galli No. 15, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=10943634660660502643&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Ahuja Residency DLF Phase-II,Guest House,"cleaner, cook, warden, guard",0124 401 9335,google,,,https://ahujaresidences.com/hotels/ahuja-residency-dlf-phase-2/?utm_source=Google&utm_medium=GMB,4.5,751,"N3/36, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=15229236252904847984&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Capital O 11044 The Maaie Inn,Guest House,"cleaner, cook, warden, guard",0124 620 1166,google,,,https://www.oyorooms.com/18151,3.5,235,"NR-19, Nathupur Rd, Nathupur, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=18275338376533043424&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Capital O Tipsyy Near Aravali Biodiversity Park,Guest House,"cleaner, cook, warden, guard",0124 433 0575,google,,,https://www.oyorooms.com/50770/,2.5,192,"14, V-39/14, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=13670299544664989514&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Collection O Hotel Grand Casa,Guest House,"cleaner, cook, warden, guard",0124 433 0575,google,,,https://www.oyorooms.com/189933/,3.7,49,"T 23 Rd, T Block, Nathupur, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=14404211413170153561&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Crystal House,Guest House,"cleaner, cook, warden, guard",0124 406 1023,google,,,,3.8,13,"S-24/1, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=17903556966703691175&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
FabHotel Happy Feet,Guest House,"cleaner, cook, warden, guard",070424 24242,google,,,https://www.fabhotels.com/hotels-in-gurgaon/fabexpress-happy-feet.html,3.8,13,"16/1, Police Station, nearby Phase 3, V Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=1084289481941446287&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Future Info Edge PVT. LTD.,Guest House,"cleaner, cook, warden, guard",0124 428 6511,google,,,,3.4,5,"T26/12, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=17451603145558610929&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
HARSHITA HOSPITALITY SERVICES,Guest House,"cleaner, cook, warden, guard",099107 99186,google,,,,4,17,"57-A, Akashneem Marg, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=567838696316283129&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
