Business Name,Primary Type,Phone,Rating,Reviews,Address,Maps Link,Website
Supreme Kiitchen (Best Corporate Catering Since 2005),food,097113 45294,4.7,21,"2268/3, Old Delhi Gurugram Rd, opposite ICICI Bank, Rajiv Nagar, Sector 14, Gurugram, Haryana 122007, India",https://maps.google.com/?cid=7382966316991975138&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.supremekitchen.in/
Kt Kitchen,restaurant,096678 86814,5,30,"G, Block D, 68, Pocket C, Mayfield Garden, Sector 50, Gurugram, Haryana 122018, India",https://maps.google.com/?cid=7620861073846340590&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Home's Kitchen,indian_restaurant,,4.9,30,"SHOP NO 73, Pivotal Deevan, near Gurgaon One, Sector 84, Gurugram, Haryana 122012, India",https://maps.google.com/?cid=3818441140451981474&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
The Daily Kitchen,restaurant,,1.2,39,"145, Sector 22 Rd, Mullahera, Sector 22, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=11439600969626900501&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Mama Kitchen,fine_dining_restaurant,096944 42888,4.6,62,"Shop No 6, First Floor, opposite Choti Mata Mandir, Block C, Sukhrali, Sector 17, Gurugram, Haryana 122017, India",https://maps.google.com/?cid=14775568667938368078&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://mamakitchen.co.in/
The Spice Kitchen,food_store,088008 13148,4.9,30,"Ansal Esencia, Ramgarh, Sector 67, Gurugram, Haryana 122101, India",https://maps.google.com/?cid=5349565550676659590&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Radio Kitchen,meal_delivery,,4.9,47,"427, Sector 39, Gurugram, Haryana 122003, India",https://maps.google.com/?cid=9300490950843592960&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.zomato.com/ncr/radio-kitchen-1-sector-39-gurgaon/order
home kitchen,food_court,062021 00410,5,16,"House, 34, Housing Board Colony, Patel Nagar, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=15261889261540006970&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Corporate kitchen Gurgaon,restaurant,083760 52424,5,4,"27, L-1, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=13983011035449742017&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://link.zomato.com/xqzv/rshare?id=4791565130563809
Your Own Kitchen,restaurant,,5,16,"Sector 9, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=6574634333017539151&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.yourownkitchen.com/
Shree Sahib Kitchen,meal_delivery,,1,1,"U 60, 5, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=271399020191130233&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Kitchen tales by Apurva,wholesaler,098978 61123,5,3,"Sector 14, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=14367621626390132161&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
The Oak Kitchen,restaurant,096676 00410,5,29,"Shop No.2, Dayal Market, Urban Estate, Gurgaon Rural, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=9167612891285511635&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Civil Kitchen,meal_delivery,078889 49065,4.9,17,"Q1 Block, opposite Park Hospital Road, South City II, Sector 49, Gurugram, Haryana 122018, India",https://maps.google.com/?cid=3315256069688602441&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Kanpur Kitchen Homemade Meals,vegetarian_restaurant,091403 98095,5,2,"Gali No. 4, Noble Enclave, Palam Vihar Extension, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=10105862928847842822&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
SOLANKI HOME MADE KITCHEN,indian_restaurant,,5,15,"J Block, Gali No. 10, Block A, Ashok Vihar Phase III Extension, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=7410599402188064285&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Shri kitchen & catering,food,,5,17,"135/c, Lajpat Nagar, Block A, Mianwali Colony, Sector 12, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=10254651933740673822&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://shri-kitchen-catering.grexa.site/
MIKKI'S KITCHEN,food,093105 36728,5,17,"VIPUL GREENS, Badshahpur Sohna Rd, Sector 48, Gurugram, Haryana 123018, India",https://maps.google.com/?cid=1717212076813416090&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Mothers Kitchen,restaurant,093112 44564,4.7,12,"Shop No. 23, Ground floor, Krishna Market Rd, near Union Bank Of India, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=12549496551710384962&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Burmese Kitchen Plus,food,0124 420 0444,4.8,25,"Ground Floor, H 23 Ln, Block H, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=16061714607466354204&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.burmesekitchen.co/
Hong's Kitchen,chinese_restaurant,1800 210 0100,3.7,233,"SCF-86, Sector 22 Rd, Sector 22A, Sector 22, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=3431705225501898676&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://hongskitchen.in/?src=local_gmb&utm_source=Google_GMB&utm_medium=GMB_SEO_urls_website
"Cuisineo Catering, Since 2012",catering_service,099583 49333,4.9,267,"Kanhai, Sector 45, Gurugram, Haryana 122003, India",https://maps.google.com/?cid=14672006875109493358&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.cuisineo.co/
Swish central kitchen Gurugram,manufacturer,,4.6,5,"Kasara no-5609, Dayma Rd, Alahawas, Sector 59, Gurugram, Haryana 122101, India",https://maps.google.com/?cid=12506933401673822836&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.justswish.in/
FES Cafe & Desserts | Central Kitchen,cafe,,5,5,"H - 16/6, Sikanderpur Rd, Block H, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=7804975018085577169&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
The Garlic Bread (Cloud and Central Kitchen),manufacturer,091119 43356,5,4,"Shop 7, B-747B, Sushant Lok Phase 1, Chakkarpur, Sector 43, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=4160820111015249211&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Homemade Tiffin service,restaurant,096434 21333,4.8,149,"Shop no - 28, plot 778, near Vijay Cinema Hall Road, Jaina Market, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=4756095189621919618&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.homemadetiffinservice.top/
tiffin service,food_court,,5,47,"V block, 27 20, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=15804987088347703227&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Kiya Tiffin Service,food_store,073036 67314,4.8,132,"Sector 45, House.No-1001 first floor, infront of Canwin hospital, Block A, Greenwood City, Sector 45, Gurugram, Haryana 122003, India",https://maps.google.com/?cid=7958392630334095475&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.getbentobox.in/
Radha Krishna tiffin service,food_store,089206 65674,5,2,"Mushedpur, DLF Phase 2, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=12552662327726175836&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Tiffinbox King,food_store,093104 93312,4.4,28,"U 52/41, near Yadav properties, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=13514246103301920797&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://tiffinbox-king.localo.site/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink
The Spice Bar,food_store,095605 70113,4.5,55,"Shop Number 8, EWS Complex, U-16, near Near Bikaner, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122008, India",https://maps.google.com/?cid=15114683237004984198&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Thaligram- Daily Meals & Tiffin Service,food_store,077338 86322,5,139,"H.No, 21, Street No. 2, Block E, Dharam Colony, Palam Vihar Extension, Gurugram, Haryana 122017, India",https://maps.google.com/?cid=5146869605435935437&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Tiffin Service Gurgaon,food_store,088021 54201,4.5,96,"Housing Board Colony, Sector 10A, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=1445950206376948215&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.zomato.com/ncr/kanikas-kitchen-sector-37-gurgaon/order
Prisha Tiffin Services,food_store,098214 19696,4.9,56,"H.no. 930, Swami Vivekananda Block, Saraswati Vihar, Maruti Housing Colony, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=16973088927122529601&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://wa.me/message/BFYVHSHIONLVK1
Homestyle Classics,food_store,,5,5,"U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=4422103016648015517&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Sheetla Tiffin Service,vegetarian_restaurant,,3.6,13,"26, Galli No 19, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=10312581407425230804&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
AS Tiffin Service,breakfast_restaurant,097116 72041,4.7,46,"H, 6, Gali No. 6, near AVR Public School, Rajiv Nagar, Sector 13, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=13609648395497959944&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Tiffinbox8,food_store,099907 49078,3.4,26,"U-8 Rd, 25 -2, DLF Cyber City, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=6484528667867969561&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Pahal tiffin service,food_store,078274 73500,5,1,"H.no.150, Nathupur, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=1077444728385212578&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Tiffin services (Veg Thali).,food_store,092623 25334,5,42,"near Shaktipeeth mandir, Block N, Pocket N, Sector 40, Gurugram, Haryana 122003, India",https://maps.google.com/?cid=16527731420134201826&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Haryana Tiffin service,food_store,,3.9,22,"H No, 868L, Sector 22B Rd, Anfilco Housing Colony, Sector 22A, Sector 22, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=3958978917125975104&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Nitya tiffin service gurgaon,food_store,099102 92871,4.9,15,"near Ambedkar cahupal, Kanhai Colony, Sector 44, Gurugram, Haryana 122003, India",https://maps.google.com/?cid=15713149829897899941&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Trishiv Tiffin Services,food_store,085108 64671,5,42,"House No-505, Gali No. 12, Block D, Sheetla Colony, Gurgaon Rural, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=4675512634612610036&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://forms.gle/B1niJv8aTkCnsTge8
THE CORPORATE CATERERS AND EVENT MANAGEMENT,store,070066 54906,4.2,18,"46, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=11771732169729334674&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://foodbytes.dotpe.in/
Dial A Meal,food_store,096506 34674,4.4,190,"D2/22, Block D, Ardee City, Sector 52, Gurugram, Haryana 122003, India",https://maps.google.com/?cid=8458892423582424157&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://dialameal.co.in/
Chef Action ligency of bihar & tiffin service,breakfast_restaurant,073030 45715,4.6,38,"H.No.283, shani mandir, near indian petrol pump, Kanhai Colony, Sector 44, Gurugram, Haryana 122003, India",https://maps.google.com/?cid=12738941845786131486&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Food delight,food_store,,4.9,182,"House 47, Ullahawas, Baharampur Naya, Sector 62, Gurugram, Haryana 122098, India",https://maps.google.com/?cid=12459178602909007869&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Mother's kitchen tiffin service,food_store,,5,1,"H.no. 150, Nathupur, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=9092048013417810191&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Pandit ji tiffin,indian_restaurant,083683 27519,4.3,155,"Sheetla Mata Rd, near shiva hospital, West Rajiv Nagar, Sector 12, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=9598578868015563684&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Rajeshwari Events & Catering Services,store,070066 54906,4.3,97,"DLF Phase 3, cyberhub, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=4297581033177205720&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://rajeshwari-events-and-entertainment.my.canva.site/
tanuj tiffin service gurgaon,food_store,097738 41092,4.8,24,"House 1199p, Islampur Village, Sector 38, Gurugram, Haryana 122018, India",https://maps.google.com/?cid=90397244791216062&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://tanujpgwww.com/
HOME TIFFIN SERVICES,food_store,081789 20812,4.8,38,"Sec 52, near shyam sweets, Wazirabad, Sector 52, Gurugram, Haryana 122003, India",https://maps.google.com/?cid=17629753339897967591&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Apna Tiffin Service,north_indian_restaurant,082870 29424,4.6,48,"Sarswati Kunj II, Wazirabad, Sector 52, Gurugram, Haryana 122003, India",https://maps.google.com/?cid=10579820288948759677&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://instagram.com/apnatiffinservice11?igshid=NzZlODBkYWE4Ng==
Shree Ram Tiffin Services,food_store,097114 67998,4.6,125,"316 F, Housing Board Colony, Sector 39, Gurugram, Haryana 122003, India",https://maps.google.com/?cid=4460261069274596458&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://shreeramtiffin.carrd.co/
Desi Cafe Tiffin Service,food_store,,4.9,55,"300, S Block, Block G, New Palam Vihar Phase 1, Palam Vihar, Gurugram, Haryana 122017, India",https://maps.google.com/?cid=12628669222900552607&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Dilli Tiffin,food_store,093196 84198,2.6,7,"House No-171, VPO Nathupur, Dlf Phase -3, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=9962743094460267187&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://magicpin.in/Gurgaon/Dlf-Phase-3/Restaurant/Dilli-Tiffin/store/1532675/?utm_source=gbp
Tiffin Service (TASTY TREATS),restaurant,099998 51243,5,30,"Sohna - Gurgaon Rd, near SR Premium Co Living, Tikri, Sector 48, Gurugram, Haryana 122018, India",https://maps.google.com/?cid=4959018092112646538&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Bhumi tiffin service Gurgaon,food_store,088106 49208,5,1,"Are anyivas, Block C, Ashok Vihar Phase III Extension, Gurugram, Haryana 122017, India",https://maps.google.com/?cid=2568489213285487055&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Radheshyam Restaurant & Tiffin Service,restaurant,096545 67188,4.1,9,"Shop No 50, Front Of Karan Estate, Galli Number 50, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=17741044331185974972&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Indian Tiffin Services,breakfast_restaurant,078180 88803,5,7,"Indira Colony, Indira Colony 1, Sector 52, Gurugram, Haryana 122003, India",https://maps.google.com/?cid=12451882162981896668&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Homemade Kitchen | Office Food Service • Party Orders • Bulk Food & Catering services,food_store,,4.3,6,"H.no 934, Nathuram Market, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=3335759159151319372&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://wa.me/918130884498
Healthy Bite food and Tiffin service,food_store,086993 17221,4.4,23,"H.n 862, near community centre, Sector 40, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=9051052839757328268&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://healthy-bite-food.grexa.site/
Tadka tiffin service,food_store,,4.8,17,"Gandhi Nagar, Sector 10A, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=14833126938023277434&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Jain Dhaba Tiffin & Catering Service,food_store,097171 26122,5,140,"C Block, Block J, Sector 2, Palam Vihar, Gurugram, Haryana 122017, India",https://maps.google.com/?cid=1846109786944529063&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Maa annapurna tiffin service,food_store,093892 35924,5,45,"649, Kanhai Rd, Sector 45, Gurugram, Haryana 122003, India",https://maps.google.com/?cid=12099611113278006107&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
VISHAL TIFFIN SERVICES,food_store,088243 50374,4.8,26,"near civil Hospital, Vikas Nagar, Sector 10, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=1167059537043745646&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Ghar Ka Swag tiffin service,meal_takeaway,098714 70161,4.4,44,"1062, near, Street no. 8, Sector 3A, Laxman Vihar, Gurugram, Haryana 122006, India",https://maps.google.com/?cid=2027416891374787796&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://6870ce5da69af.site123.me/
Pahadi zaika tiffin service,food_store,099908 15073,5,6,"Palam vihar, Gali No. 15, Dharam Colony, Cartarpuri Alias Daulatpur Nas, Gurugram, Haryana 122017, India",https://maps.google.com/?cid=9690301465842089339&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Grill N Thrill Fast Food and Tiffin Service,food_store,,,,"Block A, Sector 28, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=4425071445576247182&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
DTS Tiffins and Restaurant,restaurant,070655 44075,3.8,57,"Subhash Chowk, Main, Thane wali Gali, near pratap general Store, Islampur Village, Sector 38, Gurugram, Haryana 122018, India",https://maps.google.com/?cid=8323096260628507945&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.dtstiffin.com/
Mama Ji Tiffin Service,restaurant,098186 96601,,,"Street No. 1, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=13422091486130783596&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Trishan Tiffin Service,food_store,098717 52347,5,2,"Gali No. 6, hanuman gali, Acharya Puri, Sector 7, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=11440144772214286285&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
DIL SE TIFFIN,food_store,063880 29969,4.1,26,"610, Shanti Kunj 2, Wazirabad, Sector 52, Gurugram, Haryana 122003, India",https://maps.google.com/?cid=14423476854253746388&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://dilsetiffin.shopto.store/
Santosh Tiffin Service,food_store,,4.7,33,"B20sai kunj, New Palam Vihar, Block K1, New Palam Vihar Phase 1, Sector 110, Gurugram, Haryana 122017, India",https://maps.google.com/?cid=14777252814920827636&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Baba Shyam Tiffin Service,food_store,,4.7,16,"House No 1241, near The Asters School, Block C, Uday Nagar, Sector 45, Gurugram, Haryana 122003, India",https://maps.google.com/?cid=8082594829345383582&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
MITHILA TIFFIN SERVICES,food_store,099394 38925,4.4,13,"Block M, Old DLF Colony, Sector 14, Gurugram, Haryana 122007, India",https://maps.google.com/?cid=4873410093383785578&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Belan: Premium Home-Made Food Tiffins tasty bhi healthy bhi,food_store,099102 27848,4.5,17,"848, Sector 4 Rd, Urban Estate, Gurgaon Rural, Gurugram, Haryana 122006, India",https://maps.google.com/?cid=15617842710167532287&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://belan.co.in/
Mealgo - Your Healthy Food Partner!,restaurant,095990 09633,4.8,117,"Pocket C, Mayfield Garden, Sector 50, Gurugram, Haryana 122018, India",https://maps.google.com/?cid=8491167876407867567&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://mealgo.in/
KHANA KHAZANA BY AYRA TIFFIN SERVICE,food_store,,4.2,29,"SHOP NO-123,1ST FLOOR PYRAMID SQUARE,SEC-67A, near ISKON TEMPLE, Gurugram, Haryana 122101, India",https://maps.google.com/?cid=5556519402101568837&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Nextflavour food Private Limited,restaurant,092059 92003,4.6,8,"171, First Floor, Street No 27, S Block, Nathupur, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=217839443003789916&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://linktr.ee/greenitfoods
TathaGat Rasoi,food_store,096431 36949,4.9,60,"Road, near Village Chopal, Sector 92, Meoka, Gurugram, Haryana 122505, India",https://maps.google.com/?cid=10619444482132914178&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Maa Annapurna Tiffin Service Basai,food_store,085869 61180,4.7,6,"House No 183, 9A, Gali Number 1, near Saraswati Convent School, Basai Enclave, Basai Village, Sector 9B, Gurugram, Haryana 122006, India",https://maps.google.com/?cid=15962571390128826630&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
