name,area,category,staff_potential,phone,website,address,maps,phone_source,enrich_note
Le Meridien Gurgaon,DLF Phase 1,hotel,HIGH,+91 124-4992000,https://www.marriott.com/en-us/hotels/deldm-le-meridien-gurgaon-delhi-ncr/overview/,"Sector 26, M.G. Road, Gurgaon Delhi Gurgaon Border, Gurgaon, Haryana, India, 122002",https://www.openstreetmap.org/way/144272841,osm,
Grand Mall,DLF Phase 1,mall,HIGH,,,,https://www.openstreetmap.org/way/144358732,none,
MGF Mega City,DLF Phase 1,mall,HIGH,,,,https://www.openstreetmap.org/way/144358733,none,
Regent Mall,DLF Phase 1,mall,HIGH,,,,https://www.openstreetmap.org/way/144358734,none,
The Bristol Hotel,DLF Phase 1,hotel,HIGH,01244351111,https://www.thebristolhotel.in,,https://www.openstreetmap.org/way/144358736,osm,
Le Meridien Hotel,DLF Phase 1,hotel,HIGH,,,Sector 26,https://www.openstreetmap.org/way/266679859,none,
Alimentos,DLF Phase 1,food_court,HIGH,,,,https://www.openstreetmap.org/way/1433587274,none,
barrique,DLF Phase 2,bar,HIGH,,,GF-03A,https://www.openstreetmap.org/node/2334369683,none,
Mukesh Dhaba,DLF Phase 2,restaurant,HIGH,+91 99114 17700,,Service Road,https://www.openstreetmap.org/node/3642197067,web,"24hr, a.k.a. Convergys Dhaba"
McDonald's,DLF Phase 2,fast_food,HIGH,,,,https://www.openstreetmap.org/node/4601388390,none,
The God Father,DLF Phase 2,bar,HIGH,,,,https://www.openstreetmap.org/node/6398553785,none,
"Kailash Nursing Home, Gurgaon",DLF Phase 2,clinic,HIGH,,,,https://www.openstreetmap.org/node/6994210829,none,
Surgi Center Clinic,DLF Phase 2,clinic,HIGH,,,,https://www.openstreetmap.org/node/6994253587,none,
Shri Ram Memorial Hospital,DLF Phase 2,hospital,HIGH,,,,https://www.openstreetmap.org/node/7010125933,none,
Asha Multispeciality Clinic,DLF Phase 2,clinic,HIGH,+91 80109 94994,,,https://www.openstreetmap.org/node/7622826272,web,"branch is U-Block DLF Phase 3, not Phase 2"
Darpan Skin & Mind Clinic,DLF Phase 2,clinic,HIGH,,,,https://www.openstreetmap.org/node/7622826287,none,
Krishna Family Clinic,DLF Phase 2,clinic,HIGH,,,,https://www.openstreetmap.org/node/7622826292,none,
Relief Physiotherapy Clinic,DLF Phase 2,clinic,HIGH,,,,https://www.openstreetmap.org/node/7622826327,none,
Upkar Clinic,DLF Phase 2,clinic,HIGH,,,,https://www.openstreetmap.org/node/7622826331,none,
R.N Clinic,DLF Phase 2,clinic,HIGH,,,,https://www.openstreetmap.org/node/7622826364,none,
The Body Shop India,DLF Phase 2,supermarket,HIGH,,,"UGF-B, Unit 4 B Ground Floor, Building No.10, Cyber Hub, Gurugram, Haryana 122002",https://www.openstreetmap.org/node/8014425488,none,
Sun Villa Gurgaon,DLF Phase 2,hotel,HIGH,+91-1244148104,http://www.sunvillagurgaon.com,"39E, Akashneem Marg",https://www.openstreetmap.org/node/9246966086,osm,
Knite Ryder,DLF Phase 2,restaurant,HIGH,+91 90150 60921,,,https://www.openstreetmap.org/node/10688625178,web,"lounge bar, alt 07735 353502"
shandhar momos,DLF Phase 2,fast_food,HIGH,,,,https://www.openstreetmap.org/node/12620813102,none,
Starbucks,DLF Phase 2,cafe,HIGH,,,,https://www.openstreetmap.org/node/13246051183,none,
Tim Hortons,DLF Phase 2,cafe,HIGH,,,,https://www.openstreetmap.org/node/13293400504,none,
P. F. Chang's,DLF Phase 2,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13293400515,none,
Farzi Cafe,DLF Phase 2,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13293400518,none,
Chili's,DLF Phase 2,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13293400521,none,
Cafe Delhi Heights,DLF Phase 2,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13293400524,none,
Made In Punjab,DLF Phase 2,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13293400527,none,
Laid Back Cafe,DLF Phase 2,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13293400528,none,
The Wine Company,DLF Phase 2,bar,HIGH,,,,https://www.openstreetmap.org/node/13293400531,none,
Cafe Mez,DLF Phase 2,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13293400534,none,
Tablespoon,DLF Phase 2,restaurant,HIGH,,https://tbsp.in/,,https://www.openstreetmap.org/node/13293400537,none,
Blue Tokai Coffee Roasters,DLF Phase 2,cafe,HIGH,+91 8448776748,,,https://www.openstreetmap.org/node/13293400540,osm,
Punjab Grill,DLF Phase 2,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13293400543,none,
Vietnom,DLF Phase 2,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13293400546,none,
Copper Chimney,DLF Phase 2,restaurant,HIGH,+91 8976792319;+91 8976792315,,,https://www.openstreetmap.org/node/13293400549,osm,
Cafeteria & Co,DLF Phase 2,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13293400552,none,
Nando's,DLF Phase 2,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13293400555,none,
McDonald's,DLF Phase 2,fast_food,HIGH,,,,https://www.openstreetmap.org/node/13293400558,none,
Starbucks,DLF Phase 2,cafe,HIGH,,,,https://www.openstreetmap.org/node/13295285679,none,
The Beer Cafe,DLF Phase 2,bar,HIGH,,,,https://www.openstreetmap.org/node/13295285680,none,
The Laugh Store,DLF Phase 2,pub,HIGH,,https://thelaughstore.in/,"4D, Tower 8C, DLF Cyber City",https://www.openstreetmap.org/node/13703530369,none,
World Laparoscopy Hospital,DLF Phase 2,hospital,HIGH,,,,https://www.openstreetmap.org/way/127245642,none,
RBS Hospital,DLF Phase 2,hospital,HIGH,,,,https://www.openstreetmap.org/way/453862916,none,
द: NUKKAD,DLF Phase 2,cafe,HIGH,+919821261643,https://,M1,https://www.openstreetmap.org/way/1236528030,osm,
Machaan,DLF Phase 3,pub,HIGH,,,,https://www.openstreetmap.org/node/477905016,none,
St Stephen's Hospital Health Care Facility,DLF Phase 3,hospital,HIGH,,,,https://www.openstreetmap.org/node/7622826267,none,
Amazone Residency Dlf Phase 3 Gurugram,DLF Phase 3,hotel,HIGH,+919871237434,https://gurugramhotel.com/,"37/8, V Block, 37 lane",https://www.openstreetmap.org/node/10685628359,osm,
"Ambience Mall, Gurugram",DLF Phase 3,mall,HIGH,,,"NH 8, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana",https://www.openstreetmap.org/node/11436616920,none,
Narayana multispeciaity hospital,DLF Phase 3,hospital,HIGH,,,,https://www.openstreetmap.org/node/12609739301,none,
McDonald's,DLF Phase 3,fast_food,HIGH,,,,https://www.openstreetmap.org/node/13296605610,none,
Breaking Brew,DLF Phase 3,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13296605614,none,
Barbeque Nation,DLF Phase 3,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13296605616,none,
Indus Flavour,DLF Phase 3,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13296605617,none,
Punjabi By Nature,DLF Phase 3,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13296605620,none,
Themis Barbeque House,DLF Phase 3,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13296605622,none,
The Beer Cafe,DLF Phase 3,bar,HIGH,,,,https://www.openstreetmap.org/node/13296605623,none,
Manbhavan,DLF Phase 3,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13296605625,none,
Pizza Hut,DLF Phase 3,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13296673490,none,
Jamie Oliver Kitchen,DLF Phase 3,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13296673492,none,
In The Punjab,DLF Phase 3,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13296673493,none,
Spezia Bistro,DLF Phase 3,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13296673497,none,
YouMee,DLF Phase 3,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13296673498,none,
Sagar Ratna,DLF Phase 3,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13296673499,none,
Swagat Restro Bar,DLF Phase 3,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13296680501,none,
Punjab Grill,DLF Phase 3,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13296680504,none,
Nando's,DLF Phase 3,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13296680505,none,
Andrea's Eatery,DLF Phase 3,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13296680507,none,
Cafe Delhi Heights,DLF Phase 3,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13296680509,none,
Mamagoto,DLF Phase 3,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13296680510,none,
KFC,DLF Phase 3,fast_food,HIGH,,,,https://www.openstreetmap.org/node/13296680511,none,
Haldiram's,DLF Phase 3,fast_food,HIGH,,,,https://www.openstreetmap.org/node/13296680512,none,
Daryaganj,DLF Phase 3,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13296680514,none,
Shalom Cafe,DLF Phase 3,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13296680516,none,
TGI Fridays,DLF Phase 3,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13296680517,none,
Gola Sizzlers,DLF Phase 3,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13296680520,none,
Zambar,DLF Phase 3,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13296680521,none,
Krispy Kreme,DLF Phase 3,fast_food,HIGH,,,,https://www.openstreetmap.org/node/13296680522,none,
Dhaba,DLF Phase 3,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13296680523,none,
Chili's,DLF Phase 3,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13296680525,none,
PizzaExpress,DLF Phase 3,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13296680526,none,
Barista,DLF Phase 3,cafe,HIGH,,,,https://www.openstreetmap.org/node/13296721120,none,
Ambience Mall,DLF Phase 3,mall,HIGH,0124-4737123,,Ambience Island,https://www.openstreetmap.org/way/267001567,osm,
DLF City Club Hotel,DLF Phase 3,hotel,HIGH,,,,https://www.openstreetmap.org/way/350514135,none,
DLF City Club,DLF Phase 3,hotel,HIGH,,,,https://www.openstreetmap.org/way/456875786,none,
the shopping mall,Galleria Market,mall,HIGH,,,,https://www.openstreetmap.org/node/3077649257,none,
Marwah Clinic,Galleria Market,clinic,HIGH,,,,https://www.openstreetmap.org/node/6994280139,none,
Oyo Townhouse,Galleria Market,hotel,HIGH,,,,https://www.openstreetmap.org/node/10824777606,none,
Megha Darjeeling Restaurant,Galleria Market,restaurant,HIGH,7428205724,,"A55/14, DLF Phase 1, Sector 28",https://www.openstreetmap.org/node/10908640655,osm,
Hotel Luxe And Stayz,Galleria Market,hotel,HIGH,,,,https://www.openstreetmap.org/node/13176694652,none,
Medanta,Galleria Market,hospital,HIGH,,,,https://www.openstreetmap.org/node/13243279487,none,
BabyJoy IVF,Galleria Market,clinic,HIGH,+91 9555044044,,,https://www.openstreetmap.org/node/13246707609,osm,
Jalsa,Galleria Market,restaurant,HIGH,,,,https://www.openstreetmap.org/node/13246707620,none,
Treebo White Castle,Galleria Market,hotel,HIGH,,,,https://www.openstreetmap.org/node/13246707626,none,
Salt Stayz,Galleria Market,hotel,HIGH,,https://saltstayz.com/,,https://www.openstreetmap.org/node/13246707639,none,
Cafe Amour,Galleria Market,cafe,HIGH,,,,https://www.openstreetmap.org/node/13246707647,none,
Potenza Wellness,Galleria Market,clinic,HIGH,,https://potenzawellness.com/,,https://www.openstreetmap.org/node/13246707657,none,
Big Bazaar,Sikanderpur,supermarket,HIGH,,,,https://www.openstreetmap.org/node/537979959,none,
Sahara Mall,Sikanderpur,mall,HIGH,,,,https://www.openstreetmap.org/way/144358735,none,
M2M Cybernetics,DLF Phase 1,company,MED,,http://www.m2mcybernetics.com,"301, 4B, Mehrauli Gurgaon Road",https://www.openstreetmap.org/node/267122070,none,
PVR Mega Mall,DLF Phase 1,cinema,MED,,,,https://www.openstreetmap.org/node/410058756,none,
Axis Bank,DLF Phase 1,bank,MED,,https://www.axisbank.com,,https://www.openstreetmap.org/node/537979966,none,
HDFC Bank,DLF Phase 1,bank,MED,,,,https://www.openstreetmap.org/node/10816636701,none,
IndiGo Emma Capital Tower 2,DLF Phase 1,company,MED,,,,https://www.openstreetmap.org/node/11750077369,none,
ICICI Bank,DLF Phase 1,bank,MED,,,,https://www.openstreetmap.org/node/13175452499,none,
Jewelounge,DLF Phase 1,jewelry,MED,,,,https://www.openstreetmap.org/node/13176641404,none,
Recon,DLF Phase 1,beauty,MED,,,,https://www.openstreetmap.org/node/13176643016,none,
Meadows,DLF Phase 1,beauty,MED,,,,https://www.openstreetmap.org/node/13176653324,none,
Pause Spa,DLF Phase 1,beauty,MED,,,,https://www.openstreetmap.org/node/13176653325,none,
Evoke Hair Clinic,DLF Phase 1,beauty,MED,,,,https://www.openstreetmap.org/node/13176653337,none,
Jewelounge,DLF Phase 1,jewelry,MED,,,,https://www.openstreetmap.org/node/13176653339,none,
Truefitt & Hill,DLF Phase 1,hairdresser,MED,,,,https://www.openstreetmap.org/node/13176656902,none,
Hair n Shanti Unisex Salon,DLF Phase 1,beauty,MED,,,,https://www.openstreetmap.org/node/13176667045,none,
Nail Story By Nalini,DLF Phase 1,beauty,MED,,,,https://www.openstreetmap.org/node/13176667046,none,
Brijhair Artstry,DLF Phase 1,beauty,MED,,,,https://www.openstreetmap.org/node/13176667050,none,
Eleve Salon,DLF Phase 1,beauty,MED,,,,https://www.openstreetmap.org/node/13176667051,none,
Looks Salon,DLF Phase 1,beauty,MED,,,,https://www.openstreetmap.org/node/13176667057,none,
Kyra By Anita Arya,DLF Phase 1,beauty,MED,,,,https://www.openstreetmap.org/node/13176667060,none,
Medklaire,DLF Phase 1,beauty,MED,,,,https://www.openstreetmap.org/node/13176681052,none,
cult.fit,DLF Phase 1,fitness_centre,MED,,,,https://www.openstreetmap.org/node/13246426339,none,
Bodycraft Salon,DLF Phase 1,hairdresser,MED,+91 9035723785,https://www.bodycraft.co.in/location-salon/gurgaon/spa-and-salon-in-dlf-phase-1,,https://www.openstreetmap.org/node/13246426345,osm,
Standard Chartered,DLF Phase 2,bank,MED,,,,https://www.openstreetmap.org/node/482663982,none,
CEVA Logistics India,DLF Phase 2,company,MED,,,,https://www.openstreetmap.org/node/1408740312,none,
Jawed Habib BeautyXpresso Beauty Salon,DLF Phase 2,hairdresser,MED,,https://www.facebook.com/beauty.xpresso,"K9, Food Court, DLF Phase 2",https://www.openstreetmap.org/node/2401099308,none,
Guavus Network Systems1,DLF Phase 2,it,MED,,,,https://www.openstreetmap.org/node/3749005710,none,
Shri Balaji Medical Store,DLF Phase 2,pharmacy,MED,+124 6470708,,"49-50, U-13",https://www.openstreetmap.org/node/4219527516,osm,
ICICI Bank,DLF Phase 2,bank,MED,,https://www.icicibank.com,"Tower A, DLF Cyber Green",https://www.openstreetmap.org/node/4496525913,none,
Deutsche Bank,DLF Phase 2,bank,MED,,,"DLF Infinity Towers (A), DLF Phase II, Sector 25A, DLF City, Gurgaon 122002",https://www.openstreetmap.org/node/4496534357,none,
Bain & Company,DLF Phase 2,company,MED,+91 124 475 1500,https://www.bain.com/offices/india/en_us/index.aspx,,https://www.openstreetmap.org/node/4498883706,osm,
KPMG,DLF Phase 2,company,MED,01243074000,https://home.kpmg.com/in/en,"10C, P-5-P-4 Lane, DLF Cyber City, Sector 24, Phase II",https://www.openstreetmap.org/node/5550889022,osm,
Boston Consulting Group,DLF Phase 2,consulting,MED,+91 124 475 1500,https://www.bcg.com/offices/knowledge-analytics-new-delhi.aspx,,https://www.openstreetmap.org/node/6176385343,osm,
Boston Consulting Group,DLF Phase 2,consulting,MED,+91 124 459 7000,https://www.bcg.com/offices/new-delhi/default.aspx,,https://www.openstreetmap.org/node/6176385344,osm,
"Taikisha Engineering PVT, LTD.",DLF Phase 2,company,MED,,,,https://www.openstreetmap.org/node/6484791185,none,
DSV Air & Sea,DLF Phase 2,company,MED,+91 1247199900,https://www.dsv.com/,"Building No-10A, 3Rd Floor, Cyber City, Phase-2, Gurugram, Delhi-Gurugram Expressway",https://www.openstreetmap.org/node/10310206480,osm,
DLF OFFICES,DLF Phase 2,company,MED,+91-124-4396000,https://www.dlf.in/offices/,"DLF Gateway Tower, R Block",https://www.openstreetmap.org/node/10770868565,osm,
Protiviti Consulting,DLF Phase 2,consulting,MED,,https://www.protiviti.com/in-pcc,"Tower A Building 5, DLF Phase 3",https://www.openstreetmap.org/node/10836628578,none,
"BraaiCraft - BBQs, Offset Smokers, Grills, Firepits & Outdoor Kitchens",DLF Phase 2,company,MED,+919980851233,https://www.braaicraft.com/,"150, National Media Centre",https://www.openstreetmap.org/node/13234594543,osm,
Dyninno,DLF Phase 2,company,MED,+91 1244398587,https://dyninno.com/en/offices/india/,,https://www.openstreetmap.org/node/13243404915,osm,
Ericsson,DLF Phase 2,company,MED,,,,https://www.openstreetmap.org/node/13243404917,none,
Anvika Professional Salon,DLF Phase 2,beauty,MED,918527470969,https://anvika-professional.grexa.site/,"45,46, Street No. 1, U Block, DLF Phase 3, Sector 24",https://www.openstreetmap.org/node/13846314782,osm,
PVR Ambience,DLF Phase 3,cinema,MED,,,,https://www.openstreetmap.org/node/410058757,none,
State Bank of India,DLF Phase 3,bank,MED,,https://www.sbi.co.in,,https://www.openstreetmap.org/node/484198839,none,
DLF City Club Gym,DLF Phase 3,fitness_centre,MED,,,,https://www.openstreetmap.org/node/4531095007,none,
DEL24 Amazon (ADCI),DLF Phase 3,company,MED,,,"Floor 5-8, Block 3, DLF Downtown, Delhi-Gurugram Expressway",https://www.openstreetmap.org/node/11455774482,none,
COWI India,DLF Phase 3,company,MED,+91124 409 2500,https://www.cowi.com,"2nd Floor, DLF Downtown, Block 2, Sector 24, Delhi-Gurugram Expressway",https://www.openstreetmap.org/node/11521864528,osm,
The Nailashes Studio,DLF Phase 3,beauty,MED,,,,https://www.openstreetmap.org/node/13296673495,none,
Nail Edit,DLF Phase 3,beauty,MED,,,,https://www.openstreetmap.org/node/13296673500,none,
Bluestone,DLF Phase 3,jewelry,MED,,,,https://www.openstreetmap.org/node/13296688582,none,
Looks Salon,DLF Phase 3,beauty,MED,,,,https://www.openstreetmap.org/node/13296688595,none,
Nails & Lashes,DLF Phase 3,beauty,MED,,,,https://www.openstreetmap.org/node/13296721102,none,
Geetanjali Salon,DLF Phase 3,beauty,MED,,,,https://www.openstreetmap.org/node/13296721122,none,
Noi Tre,DLF Phase 3,hairdresser,MED,,,,https://www.openstreetmap.org/node/13296721130,none,
Geetanjali Salon,Galleria Market,beauty,MED,,,,https://www.openstreetmap.org/node/10704460406,none,
VLCC,Galleria Market,beauty,MED,,,,https://www.openstreetmap.org/node/13176624280,none,
Aesthetics Redefined,Galleria Market,beauty,MED,,,,https://www.openstreetmap.org/node/13176653336,none,
GV Hair Unisex,Galleria Market,beauty,MED,,,,https://www.openstreetmap.org/node/13176667049,none,
Bblunt Salon,Galleria Market,beauty,MED,,,,https://www.openstreetmap.org/node/13176667056,none,
Sinh Salon,Galleria Market,hairdresser,MED,+91 01244251845,https://sinh.co.in/,,https://www.openstreetmap.org/node/13246707646,osm,
Headmasters Salon,Galleria Market,hairdresser,MED,,,,https://www.openstreetmap.org/node/13246707656,none,
PVR Cinames,Sikanderpur,cinema,MED,,,,https://www.openstreetmap.org/node/410058755,none,
Binge,DLF Phase 1,bakery,LOW,,,,https://www.openstreetmap.org/node/4710027589,none,
Bharat Petroleum,DLF Phase 1,fuel,LOW,,,,https://www.openstreetmap.org/node/6071158915,none,
Mahindra,DLF Phase 1,car,LOW,,,,https://www.openstreetmap.org/node/6071158916,none,
Dr. Khosla's Dental Clinic,DLF Phase 1,dentist,LOW,+91-124-4036918,,H-35,https://www.openstreetmap.org/node/9447044303,osm,
G-Town Wines,DLF Phase 1,alcohol,LOW,,,,https://www.openstreetmap.org/node/10690963350,none,
Maruti Suzuki,DLF Phase 1,car_repair,LOW,,,,https://www.openstreetmap.org/node/11037384824,none,
Red Orchid Spa MG Road,DLF Phase 1,massage,LOW,+91-9899620796,,"Unit no 18, MGF Mega City Mall, Unit No 18, First Floor, Mehrauli-Gurgaon Road",https://www.openstreetmap.org/node/11238183299,osm,
Third Wave Coffee Roasters,DLF Phase 1,coffee,LOW,,,,https://www.openstreetmap.org/node/13110400367,none,
Theme Piano World,DLF Phase 1,musical_instrument,LOW,,,,https://www.openstreetmap.org/node/13175500414,none,
Kanishk Mehta,DLF Phase 1,clothes,LOW,,,,https://www.openstreetmap.org/node/13176598977,none,
Skoda,DLF Phase 1,car,LOW,,,,https://www.openstreetmap.org/node/13176626197,none,
The Sleep Company,DLF Phase 1,bed,LOW,,,,https://www.openstreetmap.org/node/13176634082,none,
Studio Bespoke: Gentlemen’s Attire,DLF Phase 1,clothes,LOW,,,,https://www.openstreetmap.org/node/13176636656,none,
Doctor Ohris Dental Clinic,DLF Phase 1,dentist,LOW,,,,https://www.openstreetmap.org/node/13176641403,none,
Samsung,DLF Phase 1,electronics,LOW,,,,https://www.openstreetmap.org/node/13176643013,none,
Maya Toys and Sports,DLF Phase 1,toys,LOW,,,,https://www.openstreetmap.org/node/13176643014,none,
The New Beginning,DLF Phase 1,doctors,LOW,+91 124 422 7991; +91 124 422 7838; +91 98103 03336,,,https://www.openstreetmap.org/node/13176643803,osm,
Karan & Moin Menswear,DLF Phase 1,clothes,LOW,,,,https://www.openstreetmap.org/node/13176646905,none,
Momentz,DLF Phase 1,gift,LOW,+91 9818683000,https://momentz.in/,,https://www.openstreetmap.org/node/13176650930,osm,
Verity Lex Legal Consulting,DLF Phase 1,lawyer,LOW,+91 81786 72224; +91 95553 40017,,,https://www.openstreetmap.org/node/13176652384,osm,
Mayank Chawla Menswear,DLF Phase 1,clothes,LOW,,,,https://www.openstreetmap.org/node/13176653299,none,
Dr Ohris Dental Clinic,DLF Phase 1,dentist,LOW,,,,https://www.openstreetmap.org/node/13176653327,none,
Royal Enfield,DLF Phase 1,motorcycle,LOW,,,,https://www.openstreetmap.org/node/13176653334,none,
Fabuliv,DLF Phase 1,furniture,LOW,,,,https://www.openstreetmap.org/node/13176657054,none,
Frontier Kia,DLF Phase 1,car,LOW,+91 9619531996;+91 8045888759,,A-14,https://www.openstreetmap.org/node/13176658577,osm,
Trooth Dental,DLF Phase 1,dentist,LOW,,,,https://www.openstreetmap.org/node/13176658578,none,
Tulip Kuchen,DLF Phase 1,kitchen,LOW,,https://tulipkuchen.com/,,https://www.openstreetmap.org/node/13176658809,none,
Tata Motors,DLF Phase 1,car,LOW,,,,https://www.openstreetmap.org/node/13176666796,none,
Sanjeev Dutta Personality School,DLF Phase 1,educational_institution,LOW,,,,https://www.openstreetmap.org/node/13176667044,none,
Studio One,DLF Phase 1,clothes,LOW,,,,https://www.openstreetmap.org/node/13176667062,none,
Seeash,DLF Phase 1,video,LOW,,,,https://www.openstreetmap.org/node/13176667064,none,
Bespoke Tailors,DLF Phase 1,tailor,LOW,,,,https://www.openstreetmap.org/node/13176667075,none,
Omaansh By kushal Jain of FAIRDEALS Karolbag,DLF Phase 1,tailor,LOW,,,,https://www.openstreetmap.org/node/13176667076,none,
Paperfry.com,DLF Phase 1,furniture,LOW,,,,https://www.openstreetmap.org/node/13176667077,none,
Trade Uno Fabrics,DLF Phase 1,fabric,LOW,+91 8130554637,https://www.tradeuno.com/,,https://www.openstreetmap.org/node/13176669329,osm,
"Uncover Laser, Skin & Hair Clinic",DLF Phase 1,doctors,LOW,+91 9752007200;+91 9220504407,https://uncover.co.in/,,https://www.openstreetmap.org/node/13176674137,osm,
Ruchika Hurria,DLF Phase 1,clothes,LOW,,,,https://www.openstreetmap.org/node/13176679633,none,
Vinfast,DLF Phase 1,car,LOW,,,,https://www.openstreetmap.org/node/13176681050,none,
Kohler,DLF Phase 1,appliance,LOW,,,,https://www.openstreetmap.org/node/13176681051,none,
Terragi,DLF Phase 1,clothes,LOW,,,,https://www.openstreetmap.org/node/13176704365,none,
Gorgia Properties,DLF Phase 1,estate_agent,LOW,,,,https://www.openstreetmap.org/node/13176704366,none,
Maruti Suzuki NEXA,DLF Phase 1,car,LOW,,,,https://www.openstreetmap.org/node/13243334781,none,
