name,category,staff_potential,phone,website,rating,reviews,address,maps_url
Aman General store,bakery,HIGH,099715 31044,,3.8,6,"25A, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=4516020433496524441&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"AMBIENCE MALL, GURUGRAM",shopping_mall,HIGH,088608 00800,http://ambiencemalls.com/,4.6,129802,"NH- 8, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=5019076698321661990&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Ananda Sangha Gurgaon,health,HIGH,088006 69210,http://anandagurgaon.org/,5,41,"1st Floor, Community Centre, K Block, DLF Phase II, Gurgaon, DLF Phase 2, Sector 25, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=10412088656766234006&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Anjeer - New Age Indian,indian_restaurant,HIGH,084478 02226,https://www.anjeer.restaurant/,4.4,222,"Ground Floor, TOWER-A, Global Gateway Towers, Unit 6, Mehrauli-Gurgaon Rd, Sikanderpur, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=16024710625243929969&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Antara Integrated Wellness Clinic (AIWC),wellness_center,HIGH,070426 17222,https://www.antaraiwc.com/,5,14,"49, Gulmohar Marg, opp. Bharti Airtel, Mushedpur, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=8808909355708137598&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Antrasha Guitar & Vocal Classes,school,HIGH,070113 31148,,4.2,14,"834, near yadav chopal, behind Sahara Mall, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=5082730287867939191&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Anubhav Hotel Solutions,hotel,HIGH,098102 45112,http://ahotelsolutions.com/,4,4,"V, V, Block 13/9, DLF City Phase 3 Rd, near Police Station, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=12607933171394864818&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Anya Home Massage & Spa,massage_spa,HIGH,093546 88592,https://body-spa.in/anya-body-spa,4.9,123,"SCO-24C, 24B, Rd Number 44, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=4460751544160337023&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Aravali – Signature Fine Dining at Welcomhotel New Delhi by ITC Hotels | Near IGI Airport & Gurgaon,restaurant,HIGH,092180 12508,https://welcomhoteldelhi.com/restaurant/,4.8,18,"Gurgaon - Delhi Expy, near Toll Plaza, D Block, Kapas Hera, New Delhi, Delhi 110097, India",https://maps.google.com/?cid=10802290131082444883&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Arvend Hospital,hospital,HIGH,099102 97981,,,,"F4P2+28Q, DLF City, DLF Phase 3, Sector 24, Sikanderpur Ghosi, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=756090744625611457&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
As Fast Food,fast_food_restaurant,HIGH,081301 12845,,5,2,"Sarhaul, Sector, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=10209979967241544458&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"ASHA MULTI SPECIALITY CLINIC :DR SUSHIL MADAN ,MD BEST & MOST SENIOR PEDIATRICIAN IN GURGAON",doctor,HIGH,099997 77222,,,,"U 14/1, NEAR Mother Dairy Milk Shop - DLF Phase 3, Gurugram, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=6822662432655953503&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Ashish Restaurant,restaurant,HIGH,095829 31910,,5,2,"Shop 4 Plot 20, Ground Floor, Olad Delhi Road, Satguru Enclave Rd, opposite Maruti Gate 1, Maruti Udyog, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=14291611470394040468&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Ashok Fast Food,fast_food_restaurant,HIGH,079959 04620,,5,1,"Shop No.28, Sector 21A, Sector 28, Dundahera Village, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=6439421239740126621&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
ASPER - Cocktail Bar,restaurant,HIGH,093194 47114,http://asperindia.com/,4.5,93,"Global Gateway, The Kitchens, Tower A, Sikanderpur, Sector 26A, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=15020769836610192287&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Atomic Health & Fitness Gym,gym,HIGH,088268 37563,https://sites.google.com/view/atomichealthfitnessgym,5,55,"M-13, Block M, Mushedpur, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=15121769802576929703&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Aujasya Cafe The Leela Ambience Gurugram,restaurant,HIGH,097175 96088,https://www.theleela.com/the-leela-ambience-gurugram-hotel-residences/restaurants/aujasya-caf%C3%A9?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gbp-leela-ambience-hotel-residences-gurugram-aujasya-cafe&utm_content=restaurant-website-click,4.3,3,"The Leela Ambience, 8, National Highway, Ambience Island, Kapas Hera Estate, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=9437083469674844256&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Avanços Coffee Co. (Specialty Coffee Studio),cafe,HIGH,096190 51704,https://avancoscoffee.com/,4.8,25,"Ground Floor, 378-379, Electronic City, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=16350112867204062609&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
AVNEESH KUMAR SWIGGY SERVICE,restaurant,HIGH,092609 85045,,,,"Shop No -32, Namvardar Market, near Sahara Mall, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=17249255248427244220&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
B. S. Food,fast_food_restaurant,HIGH,096674 21700,,3,2,"a, 3-113, Nathupur, Sector 26A, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=850088673982280414&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Bakegram Bakery and Cake Shop,bakery,HIGH,089299 09299,https://www.bakegram.in/,4.7,38,"Ground Floor, Basant Complex, near Vishal Mega Mart, opposite Royal Rooms PG, Udyog Vihar, Dundahera Village, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=5122133576596245425&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Balaji Biryani Stall,food_court,HIGH,087886 11718,,5,1,"Shop 1, Airtel Road, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=11993921328430983343&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Balam Auto Works,grocery_store,HIGH,070180 96252,,4.5,4,"Road Shimla, Sector 21, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=10822880727266251561&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Balanced Bite,restaurant,HIGH,096678 98008,,,,"Lower Ground, DLF Moulsari Arcade, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=11382383701215679739&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Basil Health,restaurant,HIGH,084477 22196,https://www.basil.health/,3.7,28,"Second floor, Food court, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=12855083058714202376&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"Batido- The shake paradise, Gurugram",coffee_shop,HIGH,099589 93144,,5,21,"Kapashera - Samalkha Rd, Estate 112, Udyog Vihar Phase 1, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=2718954499776421948&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"Bedchambers Serviced Apartments, DLF Cybercity Gurgaon",lodging,HIGH,085888 88655,https://bedchambers.in/Apartments/bedchambers-serviced-apartments-dlf-cybercity-gurgaon/,4.9,180,"V40, 1, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=4838707718266024628&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Between 2 buns,restaurant,HIGH,098090 00901,,5,1,"V-23/1, V block, Sector 24, DLF phase 3 Gurgaon - 122001, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=9832644792909154820&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Biryani By Kilo- Palam Vihar,indian_restaurant,HIGH,1800 212 2212,https://web.biryanibykilo.com/,4,195,"Shop No 1, H No. 586, Palam Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=9914143530843275815&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Biryani House,butcher_shop,HIGH,083950 90008,,3.7,3,"16/8, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=7980274320240788407&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
BITHI,food_court,HIGH,083481 91937,,,,"Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=10152054180956384353&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Blissful Bites by Juhie,bakery,HIGH,098917 46380,,4.8,14,"14, V-2, V Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=8652780845392911685&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
BONABITE,fast_food_restaurant,HIGH,097287 70606,https://link.zomato.com/xqzv/rshare?id=57400934305630f6,5,2,"111, Basment Market, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=3799031687496428702&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Brijwasi Fast Food,restaurant,HIGH,095682 46540,,5,2,"near Old Delhi Road, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=9889523488906501052&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
BrownBricks Service Apartments,lodging,HIGH,095550 34206,https://www.airbnb.com/l/Kha0yT43,4.6,151,"26-27, V-19, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=13839298595074884350&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Buddha Beauty Point,beauty_salon,HIGH,098996 58383,,4.9,107,"LG-46A, MGF Metropolis Mall, Mehrauli-Gurgaon Rd, Sector 28, Maruti Housing Colony, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=18220783643901149560&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
cafe coffee day,restaurant,HIGH,092668 76692,,3,2,"213, U 60 Rd, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=4740950305112895757&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Cafe OMI,cafe,HIGH,098110 08684,http://www.thealdott.com/,4.5,50,"The Aldott, 81, Moulsari Ave, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=4956889282761145308&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
CakeZone,bakery,HIGH,073494 16166,https://www.cakezone.com/,2.6,10,"FIRST FLOOR, 832, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=5810093109020599706&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Calm Spa,spa,HIGH,096258 05637,https://calmspa.co.in/,5,12,"Lower Ground, Shop No - 30, City Centre Mall, Mehrauli-Gurgaon Rd, Sector 28, Maruti Housing Colony, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=7979793373294730793&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Capital O 11044 The Maaie Inn,hotel,HIGH,0124 620 1166,https://www.oyorooms.com/18151,3.5,235,"NR-19, Nathupur Rd, Nathupur, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=18275338376533043424&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Capital O Tipsyy Near Aravali Biodiversity Park,hotel,HIGH,0124 433 0575,https://www.oyorooms.com/50770/,2.5,192,"14, V-39/14, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=13670299544664989514&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Casa Dona | Food Court,mexican_restaurant,HIGH,080060 08909,https://mycasadona.com/casa-dona-food-court/,4.7,67,"Casa Dona Food Court Quattro Iconic, Plot No.273, Udyog Vihar II Rd, Udyog Vihar Phase 1, Udyog Vihar, Sector 20, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=4636406191652334623&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Casenora Girls Pg Paying Guest,hotel,HIGH,097183 90395,,4.4,25,"Jcm 37 b, DLF Phase 2, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=10840622480268537138&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Chaap Guru,indian_restaurant,HIGH,099966 69082,,4.8,139,"Shop no 112, Basement Market, Galli Number 69, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=3653319341963147472&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"Chai Point - MD Regent Plaza, Gurgaon",cafe,HIGH,088801 41000,https://mdregentplaza.chaipoint.com/,4.6,101,"Ground Floor JMD Regent Plaza, Mehrauli-Gurgaon Rd, near IndiGo Guru Dronacharya Metro, Sikanderpur, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=10267535365122981093&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"Chai Point - Narayana Hospital, Gurugram",cafe,HIGH,088801 41000,https://shop.chaipoint.com/?utm_source=gmb&utm_medium=organic&utm_campaign=sulekhapromanage-chai-point,4.8,167,"No 3201, Narayana Hospital, Ground Floor Block V, DLF Phase - III, Nathupur, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=2362160453426684230&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"Charcoal Eats, Natupura",indian_restaurant,HIGH,090225 00500,http://www.charcoaleats.com/,3.4,22,"Jeena Number 4, 1st Floor, H16/6, Sikanderpur, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=8818784738255952897&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Chinese Live Counter,fast_food_restaurant,HIGH,095215 70040,,,,"U 51, 2, Balveer Market, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=17961440526549652215&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Chini Bowl,chinese_restaurant,HIGH,098711 60169,,3.9,20,"Club, Essel Towers, Mehrauli-Gurgaon Rd, Indian Airlines Pilots Society, Sushant Lok Phase I, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=6474910880470628567&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Cilantro,fine_dining_restaurant,HIGH,0124 245 0505,http://www.tridenthotels.com/hotels-in-gurgaon/restaurant-in-gurgaon/dining-cilantro,4.5,439,"443, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=7270854526747312238&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Classic Hair Unisex Salon,hair_salon,HIGH,082950 25986,,5,2,"Shop No-1, Block B, Nathupur Rd, Nathupur, Sector 26A, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=11826939181481920591&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Club Riviera by FNP Venues,wedding_venue,HIGH,078278 12345,https://www.fnpvenues.com/wedding-venues-gurgaon/club-riviera/,4.5,1994,"NH - 8, Golf Dr, behind the leela Hotel Ambience, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=11325007856856792892&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Collection O Hotel Grand Casa,hotel,HIGH,0124 433 0575,https://www.oyorooms.com/189933/,3.7,49,"T 23 Rd, T Block, Nathupur, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=14404211413170153561&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Colonel's Kababz | Corporate Office & Cloud Kitchen,north_indian_restaurant,HIGH,098683 74769,,3.5,10,"GROUND FLOOR, 832, Udyog Vihar Phase V Rd, Phase V, Udyog Vihar, Sector 19, New Delhi, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=325508217810332655&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Colourful Nails Studio,nail_salon,HIGH,092113 97272,https://www.instagram.com/colourfulnailsstudio?igsh=MW10eWwzNnY1NTk3dQ==,4.9,159,"Central Arcade, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=14195586510736769143&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Commune Siris,lodging,HIGH,099712 94321,https://communeapartment.com/,4.7,15,"Cyber city, Siris Rd, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=9408115525855432339&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Crystal House,hotel,HIGH,0124 406 1023,,3.8,13,"S-24/1, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=17903556966703691175&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
Curry culture,restaurant,HIGH,081785 96098,,5,11,"Speed Kitchen, 651, Udyog Vihar Phase V Rd, Udyog Vihar 3, Phase V, Udyog Vihar, Sector 19, Gurugram, Haryana 122016, India",https://maps.google.com/?cid=1394805213696381696&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
"CUT&STYLE Salon - DLF Phase 2, Gurugram",beauty_salon,HIGH,078258 93533,https://salons.cutandstyle.in/dlf-phase-2-gurugram-34343/home,4.6,370,"Shop No 270 Central Arcade Market, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=2342252223959487960&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
CutifyMe DLF Phase 2,nail_salon,HIGH,083739 97373,,4.9,37,"DLF Phase 2, Sector 25 Central Arcade Shop Number 115, First Floor, above Frontier Bakery, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=9871789476186830147&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA
