name,category,phone,website,address,distance_m,osm
Dyninno,company,+91 1244398587,https://dyninno.com/en/offices/india/,,381,https://www.openstreetmap.org/node/13243404915
Standard Chartered,bank,,,,382,https://www.openstreetmap.org/node/482663982
ICICI Bank,bank,,https://www.icicibank.com,"Tower A, DLF Cyber Green",383,https://www.openstreetmap.org/node/4496525913
Ericsson,company,,,,384,https://www.openstreetmap.org/node/13243404917
DLF OFFICES,company,+91-124-4396000,https://www.dlf.in/offices/,"DLF Gateway Tower, R Block, Gurugram",386,https://www.openstreetmap.org/node/10770868565
91 Springboard,coworking,,https://www.91springboard.com/co-working-office-space-gurugram/7a-dlf-cyber-city/,,387,https://www.openstreetmap.org/node/13243404916
McDonald's,fast_food,,,,399,https://www.openstreetmap.org/node/4601388390
Deutsche Bank,bank,,,"DLF Infinity Towers (A), DLF Phase II, Sector 25A, DLF City, Gurgaon 122002",407,https://www.openstreetmap.org/node/4496534357
Boston Consulting Group,consulting,+91 124 475 1500,https://www.bcg.com/offices/knowledge-analytics-new-delhi.aspx,,433,https://www.openstreetmap.org/node/6176385343
barrique,bar,,,GF-03A,449,https://www.openstreetmap.org/node/2334369683
The God Father,bar,,,,460,https://www.openstreetmap.org/node/6398553785
Daily Need General Store,confectionery,,,,499,https://www.openstreetmap.org/node/10961015275
Bravura Solutions,insurance,,,,553,https://www.openstreetmap.org/node/6392418985
Darpan Skin & Mind Clinic,clinic,,,,594,https://www.openstreetmap.org/node/7622826287
BlackRock,financial,,,Gurugram,596,https://www.openstreetmap.org/node/5596432684
RBS Dental Clinic,dentist,,,,617,https://www.openstreetmap.org/node/7622826336
Protiviti Consulting,consulting,,https://www.protiviti.com/in-pcc,"Tower A Building 5, DLF Phase 3, Gurgaon",624,https://www.openstreetmap.org/node/10836628578
shandhar momos,fast_food,,,,628,https://www.openstreetmap.org/node/12620813102
Shri Balaji Medical Store,pharmacy,+124 6470708,,"49-50, U-13, Gurgram",639,https://www.openstreetmap.org/node/4219527516
Asha Multispeciality Clinic,clinic,,,,651,https://www.openstreetmap.org/node/7622826272
Indian Oil,fuel,,,,664,https://www.openstreetmap.org/node/249054695
Relief Physiotherapy Clinic,clinic,,,,686,https://www.openstreetmap.org/node/7622826327
"Kailash Nursing Home, Gurgaon",clinic,,,,704,https://www.openstreetmap.org/node/6994210829
Trident Hotel,hotel,,,,715,https://www.openstreetmap.org/node/438035810
"BraaiCraft - BBQs, Offset Smokers, Grills, Firepits & Outdoor Kitchens",company,+919980851233,https://www.braaicraft.com/,"150, National Media Centre, Gurgaon",748,https://www.openstreetmap.org/node/13234594543
"Taikisha Engineering PVT, LTD.",company,,,,751,https://www.openstreetmap.org/node/6484791185
Anvika Professional Salon,beauty,918527470969,https://anvika-professional.grexa.site/,"45,46, Street No. 1, U Block, DLF Phase 3, Sector 24, Gurugram",769,https://www.openstreetmap.org/node/13846314782
द: NUKKAD,cafe,+919821261643,https://,"M1, DLF City, Phase-2",776,https://www.openstreetmap.org/way/1236528030
Cosmodentz Dental Clinic,dentist,,,,786,https://www.openstreetmap.org/node/7622826293
World's Finest Spirits,alcohol,,,Gurgaon,822,https://www.openstreetmap.org/way/351608309
The Oberoi Patisserie And Delicatessen,bakery,,,,837,https://www.openstreetmap.org/node/4710042089
RBS Hospital,hospital,,,,862,https://www.openstreetmap.org/way/453862916
Knite Ryder,restaurant,,,,881,https://www.openstreetmap.org/node/10688625178
Machaan,pub,,,,888,https://www.openstreetmap.org/node/477905016
Dental Harbour,dentist,,,,932,https://www.openstreetmap.org/node/7622826289
R.N Clinic,clinic,,,,1048,https://www.openstreetmap.org/node/7622826364
Shri Ram Memorial Hospital,hospital,,,,1050,https://www.openstreetmap.org/node/7010125933
DEL24 Amazon (ADCI),company,,,"Floor 5-8, Block 3, DLF Downtown, Delhi-Gurugram Expressway, Gurugram",1070,https://www.openstreetmap.org/node/11455774482
Biba,clothes,,,,1164,https://www.openstreetmap.org/node/13296688598
Aurelia,clothes,,,,1169,https://www.openstreetmap.org/node/13296721109
Barbeque Nation,restaurant,,,,1171,https://www.openstreetmap.org/node/13296605616
Delsey Paris,bag,,,,1172,https://www.openstreetmap.org/node/13296721110
Sabhyata,clothes,,,,1172,https://www.openstreetmap.org/node/13296721127
Ancestry,clothes,,,,1173,https://www.openstreetmap.org/node/13296688581
Gola Sizzlers,restaurant,,,,1175,https://www.openstreetmap.org/node/13296680520
COWI India,company,+91124 409 2500,https://www.cowi.com,"2nd Floor, DLF Downtown, Block 2, Sector 24, Delhi-Gurugram Expressway, Gurugram",1176,https://www.openstreetmap.org/node/11521864528
Anita Dongre,clothes,,,,1178,https://www.openstreetmap.org/node/13296721114
Vi-John Tower,company,,,,1181,https://www.openstreetmap.org/node/11160320805
Sweet Dreams,clothes,,,,1182,https://www.openstreetmap.org/node/13296688592
Indus Flavour,restaurant,,,,1186,https://www.openstreetmap.org/node/13296605617
Globaldesi,clothes,,,,1187,https://www.openstreetmap.org/node/13296688596
Upkar Clinic,clinic,,,,1188,https://www.openstreetmap.org/node/7622826331
Zambar,restaurant,,,,1189,https://www.openstreetmap.org/node/13296680521
W,clothes,,,,1192,https://www.openstreetmap.org/node/13296721126
Breaking Brew,restaurant,,,,1196,https://www.openstreetmap.org/node/13296605614
Ritu Kumar,clothes,,,,1197,https://www.openstreetmap.org/node/13296688586
Fabindia,clothes,,,,1197,https://www.openstreetmap.org/node/13296721119
Haldiram's,fast_food,,,,1202,https://www.openstreetmap.org/node/13296680512
Jaypor,clothes,,,,1203,https://www.openstreetmap.org/node/13296721107
Amazone Residency Dlf Phase 3 Gurugram,hotel,+919871237434,https://gurugramhotel.com/,"37/8, V Block, 37 lane, gurugram",1204,https://www.openstreetmap.org/node/10685628359
Themis Barbeque House,restaurant,,,,1207,https://www.openstreetmap.org/node/13296605622
Jamie Oliver Kitchen,restaurant,,,,1209,https://www.openstreetmap.org/node/13296673492
Saundh,clothes,,,,1209,https://www.openstreetmap.org/node/13296688585
Krishna Family Clinic,clinic,,,,1213,https://www.openstreetmap.org/node/7622826292
Van Heusen,clothes,,,,1213,https://www.openstreetmap.org/node/13296721101
TGI Fridays,restaurant,,,,1214,https://www.openstreetmap.org/node/13296680517
Manbhavan,restaurant,,,,1215,https://www.openstreetmap.org/node/13296605625
Sun Villa Gurgaon,hotel,+91-1244148104,http://www.sunvillagurgaon.com,"39E, Akashneem Marg, Gurgaon",1216,https://www.openstreetmap.org/node/9246966086
Anokhi,clothes,,,,1217,https://www.openstreetmap.org/node/13296721117
Guftagu Cafe,cafe,,,,1219,https://www.openstreetmap.org/node/10209710086
Sagar Ratna,restaurant,,,,1220,https://www.openstreetmap.org/node/13296673499
Panna,clothes,,,,1220,https://www.openstreetmap.org/node/13296721129
Suvasa,clothes,,,,1221,https://www.openstreetmap.org/node/13296688593
Punjabi By Nature,restaurant,,,,1222,https://www.openstreetmap.org/node/13296605620
Meena Bazaar,clothes,,,,1225,https://www.openstreetmap.org/node/13296688583
Go Colors!,clothes,,,,1225,https://www.openstreetmap.org/node/13296721115
Swagat Restro Bar,restaurant,,,,1226,https://www.openstreetmap.org/node/13296680501
PizzaExpress,restaurant,,,,1231,https://www.openstreetmap.org/node/13296680526
Mohanlal Sons,clothes,,,,1231,https://www.openstreetmap.org/node/13296721104
Shalom Cafe,restaurant,,,,1237,https://www.openstreetmap.org/node/13296680516
The Chocolate Room,chocolate,,,,1239,https://www.openstreetmap.org/node/13296673496
Krispy Kreme,fast_food,,,,1242,https://www.openstreetmap.org/node/13296680522
Reliance Digital,electronics,,,,1242,https://www.openstreetmap.org/node/13296721116
Daryaganj,restaurant,,,,1243,https://www.openstreetmap.org/node/13296680514
Pure,interior_decoration,,,,1245,https://www.openstreetmap.org/node/13296688589
Häagen-Dazs,ice_cream,,,,1247,https://www.openstreetmap.org/node/13296680518
YouMee,restaurant,,,,1248,https://www.openstreetmap.org/node/13296673498
Mi Arcus,clothes,,,,1249,https://www.openstreetmap.org/node/13296721108
Kate & Oscar,clothes,,,,1251,https://www.openstreetmap.org/node/13296721123
One Friday,clothes,,,,1254,https://www.openstreetmap.org/node/13296688600
Toy Factory,toys,,,,1262,https://www.openstreetmap.org/node/13296721112
Mustard,clothes,,,,1262,https://www.openstreetmap.org/node/13296721113
Spezia Bistro,restaurant,,,,1265,https://www.openstreetmap.org/node/13296673497
Sony Centre,electronics,,,,1265,https://www.openstreetmap.org/node/13296721111
Soch,clothes,,,,1267,https://www.openstreetmap.org/node/13296721128
Pizza Hut,restaurant,,,,1272,https://www.openstreetmap.org/node/13296673490
Iconic Kids,clothes,,,,1273,https://www.openstreetmap.org/node/13296721118
Samsonite,bag,,,,1274,https://www.openstreetmap.org/node/13296688594
KFC,fast_food,,,,1279,https://www.openstreetmap.org/node/13296680511
Mothercare,baby_goods,,,,1279,https://www.openstreetmap.org/node/13296688587
Chicco,baby_goods,,,,1285,https://www.openstreetmap.org/node/13296688590
Andrea's Eatery,restaurant,,,,1288,https://www.openstreetmap.org/node/13296680507
Ambience Mall,mall,0124-4737123,,"Ambience Island, Gurugram",1289,https://www.openstreetmap.org/way/267001567
D'Shoe Lounge,shoes,,,,1291,https://www.openstreetmap.org/node/13296688580
Surgi Center Clinic,clinic,,,,1292,https://www.openstreetmap.org/node/6994253587
In The Punjab,restaurant,,,,1296,https://www.openstreetmap.org/node/13296673493
Hush Puppies,shoes,,,,1296,https://www.openstreetmap.org/node/13296721103
Lenovo,computer,,,,1297,https://www.openstreetmap.org/node/13296721121
Bluestone,jewelry,,,,1298,https://www.openstreetmap.org/node/13296688582
"Ambience Mall, Gurugram",mall,,,"NH 8, Ambience Island, DLF Phase 3, Sector 24, Gurugram, Haryana, Gurugram",1301,https://www.openstreetmap.org/node/11436616920
Mamagoto,restaurant,,,,1304,https://www.openstreetmap.org/node/13296680510
Narayana multispeciaity hospital,hospital,,,,1307,https://www.openstreetmap.org/node/12609739301
Adidas,sports,,,,1307,https://www.openstreetmap.org/node/13296688584
Lenskart,optician,,,,1307,https://www.openstreetmap.org/node/13296688588
Dhaba,restaurant,,,,1313,https://www.openstreetmap.org/node/13296680523
Noi Tre,hairdresser,,,,1313,https://www.openstreetmap.org/node/13296721130
Cromā,electronics,,,,1319,https://www.openstreetmap.org/node/13296688591
PVR Ambience,cinema,,,,1320,https://www.openstreetmap.org/node/410058757
Ecco,shoes,,,,1320,https://www.openstreetmap.org/node/13296688597
H&M,clothes,,,,1335,https://www.openstreetmap.org/node/13296688599
Nail Edit,beauty,,,,1341,https://www.openstreetmap.org/node/13296673500
The Nailashes Studio,beauty,,,,1346,https://www.openstreetmap.org/node/13296673495
Nails & Lashes,beauty,,,,1354,https://www.openstreetmap.org/node/13296721102
Zara,clothes,,https://zara.com,,1362,https://www.openstreetmap.org/node/10086332517
Parishram Resources,company,,,,1364,https://www.openstreetmap.org/node/7116650481
Dr. Khullar's Dental Clinic,dentist,,,,1382,https://www.openstreetmap.org/node/7622826270
The Leela,hotel,,https://www.theleela.com/,,1412,https://www.openstreetmap.org/node/1801156437
Garg Dental Care,dentist,,,,1419,https://www.openstreetmap.org/node/7622826314
State Bank of India,bank,,https://www.sbi.co.in,,1433,https://www.openstreetmap.org/node/484198839
Nagarro Software Pvt Ltd,it,,https://www.nagarro.com,"13, Sub.Major Laxmi Chand Rd, Gurgaon",1467,https://www.openstreetmap.org/way/142938989
Dr Lal Pathlabs,hospital,,,,1483,https://www.openstreetmap.org/node/11750077269
Dex Labs Analytics,educational_institution,,,"K3, Gurugram",1496,https://www.openstreetmap.org/node/6342613017
DLF City Club Swimming Pool,sports_centre,,,,1504,https://www.openstreetmap.org/way/456875783
DLF City Club Hotel,hotel,,,,1509,https://www.openstreetmap.org/way/350514135
Uma Sanjeevani Health Centre And Hospital,hospital,,,,1513,https://www.openstreetmap.org/node/6994228914
Pure Veg / Mother Dairy,greengrocer,,,,1517,https://www.openstreetmap.org/node/1384029870
Dental Cure and Care Centre,dentist,,,,1523,https://www.openstreetmap.org/node/7622826279
DLF City Club Gym,fitness_centre,,,,1528,https://www.openstreetmap.org/node/4531095007
DLF City Club,hotel,,,,1536,https://www.openstreetmap.org/way/456875786
Guardian,pharmacy,,,,1543,https://www.openstreetmap.org/node/537994222
98.4,pharmacy,,,,1568,https://www.openstreetmap.org/node/537994221
Religare Wellness,pharmacy,,,,1579,https://www.openstreetmap.org/node/537994220
HSBC,bank,,,,1589,https://www.openstreetmap.org/node/267127244
Xchanging Gurgaon,company,,,"271, udhyog vihar, phase - 2, Gurgaon, Haryana",1591,https://www.openstreetmap.org/node/2945147133
GKB Opticals,optician,,,,1592,https://www.openstreetmap.org/node/537994223
Kotak Mahindra Bank;india,bank,,https://www.kotak.com/,,1609,https://www.openstreetmap.org/node/271336428
Sikanderpur Fish Market,butcher,,,,1621,https://www.openstreetmap.org/way/1433587273
Axis Bank,bank,,https://www.axisbank.com,,1643,https://www.openstreetmap.org/node/537979966
Suchali's Artisan Bakehouse,bakery,,,,1649,https://www.openstreetmap.org/node/13243334783
Blue Tokai Coffee Roasters,cafe,,,,1650,https://www.openstreetmap.org/node/13243334788
The Coffee Bean & Tea Leaf,cafe,,,,1654,https://www.openstreetmap.org/node/13243334785
Spencer's,supermarket,,https://www.spencers.in/,"Mehrauli Gurgaon Road, DELHI",1655,https://www.openstreetmap.org/node/1579182266
Third Wave Coffee Roasters,coffee,,,,1658,https://www.openstreetmap.org/node/13110400367
Starbucks,cafe,,,,1661,https://www.openstreetmap.org/node/6071161049
Dohful,coffee,,,,1665,https://www.openstreetmap.org/node/13243334787
Chaayos,cafe,,,,1666,https://www.openstreetmap.org/node/13243334782
Grand Mall,mall,,,,1678,https://www.openstreetmap.org/way/144358732
JMD Regent Plaza,mall,9625318281,,Gurugram,1689,https://www.openstreetmap.org/way/43022517
Renault,car,,,,1692,https://www.openstreetmap.org/node/10593661439
Maruti Suzuki NEXA,car,,,,1693,https://www.openstreetmap.org/node/13243334781
MGF Mega City,mall,,,,1694,https://www.openstreetmap.org/way/144358733
Mahindra,car,,,,1701,https://www.openstreetmap.org/node/6071158916
G-Town Wines,alcohol,,,Gurugram,1703,https://www.openstreetmap.org/node/10690963350
Jockey,clothes,,,,1714,https://www.openstreetmap.org/node/13890672533
Qurbat,clothes,,,,1715,https://www.openstreetmap.org/node/13890672585
Red Orchid Spa MG Road,massage,+91-9899620796,,"Unit no 18, MGF Mega City Mall, Unit No 18, First Floor, Mehrauli-Gurgaon Road, Gurugram",1717,https://www.openstreetmap.org/node/11238183299
Louis Philippe,clothes,,,,1717,https://www.openstreetmap.org/node/13890672611
Sahara Mall,mall,,,,1718,https://www.openstreetmap.org/way/144358735
Linen Club,clothes,,,,1720,https://www.openstreetmap.org/node/13890672540
Allen Solly,clothes,,,,1724,https://www.openstreetmap.org/node/13890652475
Carlton,bag,,,,1724,https://www.openstreetmap.org/node/13890672551
National Highway Authority of India,government,,,,1725,https://www.openstreetmap.org/node/2908667702
Mumuso,fashion_accessories,,,,1725,https://www.openstreetmap.org/node/13890672587
Safari,bag,,,,1727,https://www.openstreetmap.org/node/13890672542
Mokobara,bag,,,,1729,https://www.openstreetmap.org/node/13890672574
Lacoste,clothes,,,,1730,https://www.openstreetmap.org/node/13890672604
Crimsoune Club,clothes,,,,1731,https://www.openstreetmap.org/node/13890672523
Lakshita,clothes,,,,1731,https://www.openstreetmap.org/node/13890672546
Uppercase,bag,,,,1734,https://www.openstreetmap.org/node/13890672544
PVR Cinames,cinema,,,,1735,https://www.openstreetmap.org/node/410058755
Hair Masters,beauty,,,,1735,https://www.openstreetmap.org/node/13890672515
Sindhi Dry Fruits And Namkeen,confectionery,,,,1735,https://www.openstreetmap.org/node/13890672595
Manyavar,clothes,,,,1735,https://www.openstreetmap.org/node/13890672622
Blackberrys,clothes,,,,1737,https://www.openstreetmap.org/node/13890672556
Big Bazaar,supermarket,,,,1738,https://www.openstreetmap.org/node/537979959
Shyaway,clothes,,,,1738,https://www.openstreetmap.org/node/13890672508
Neelkanth Medicos,pharmacy,,,,1739,https://www.openstreetmap.org/node/9703764298
Cobb,clothes,,,,1739,https://www.openstreetmap.org/node/13890672549
D Shoe Lounge,shoes,,,,1740,https://www.openstreetmap.org/node/13890652496
Inc. 5,shoes,,,,1740,https://www.openstreetmap.org/node/13890672570
Doc. Deepa,clinic,,,,1741,https://www.openstreetmap.org/node/9703790498
Savvyy,clothes,,,,1741,https://www.openstreetmap.org/node/13890672575
Regent Mall,mall,,,,1742,https://www.openstreetmap.org/way/144358734
EMCEE BEAUTY - Customize your own Natural Lipstick at first lip studio in India,cosmetics,+919119304111,https://emceebeauty.com/,"No. 5, Second Floor, MGF Metropolis Mall, Gurgaon",1743,https://www.openstreetmap.org/node/8520868633
Delsey,bag,,,,1743,https://www.openstreetmap.org/node/13890672511
Krti Life,gift,,,,1744,https://www.openstreetmap.org/node/13890672530
Myror,clothes,,,,1744,https://www.openstreetmap.org/node/13890672535
Being Human,clothes,,,,1745,https://www.openstreetmap.org/node/13890672573
Wildcraft,bag,,,,1747,https://www.openstreetmap.org/node/13890652492
VIP,bag,,,,1748,https://www.openstreetmap.org/node/13890652495
Om Bookshop,books,,,,1748,https://www.openstreetmap.org/node/13890672516
Liberty Exclusive Showroom,shoes,,,,1749,https://www.openstreetmap.org/node/13890672598
Flying Machine,clothes,,,,1750,https://www.openstreetmap.org/node/13890672552
Anganwadi,government,,,,1751,https://www.openstreetmap.org/node/9703790499
Boton Optician,optician,,,,1753,https://www.openstreetmap.org/node/13890672580
Vicinxa,bag,,,,1754,https://www.openstreetmap.org/node/13890652487
Retail Dost,electronics,,,,1754,https://www.openstreetmap.org/node/13890672612
Dayal Opticals,optician,,,,1755,https://www.openstreetmap.org/node/13890672609
Speedo,clothes,,,,1755,https://www.openstreetmap.org/node/13890672613
Louis Stitch,shoes,,,,1755,https://www.openstreetmap.org/node/13890672614
More and Beyond,clothes,,,,1757,https://www.openstreetmap.org/node/13890672506
Puma,clothes,,,,1757,https://www.openstreetmap.org/node/13890672541
PVR Metropolitan,cinema,,,,1758,https://www.openstreetmap.org/node/890699094
Candy Kindom,confectionery,,,,1758,https://www.openstreetmap.org/node/13890672594
Mufti,clothes,,,,1758,https://www.openstreetmap.org/node/13890672615
Belirams,gift,,,,1759,https://www.openstreetmap.org/node/13890672548
Mochi,shoes,,,,1760,https://www.openstreetmap.org/node/13890672531
Geetanjali Studio,beauty,,,,1761,https://www.openstreetmap.org/node/13890652498
Archies,gift,,,,1761,https://www.openstreetmap.org/node/13890672524
Reid & Taylor,clothes,,,,1761,https://www.openstreetmap.org/node/13890672558
Baskin-Robbins,ice_cream,,,,1762,https://www.openstreetmap.org/node/13890672539
American Tourister,bag,,,,1762,https://www.openstreetmap.org/node/13890672571
Caprese,bag,,,,1762,https://www.openstreetmap.org/node/13890672597
Dolce Gelat,ice_cream,,,,1763,https://www.openstreetmap.org/node/13890672505
Raymond,clothes,,,,1763,https://www.openstreetmap.org/node/13890672591
LogisticMart,company,,,"Office No 309, Vipul Agora Building, Mehrauli-Gurgaon Rd, Gurugram",1764,https://www.openstreetmap.org/node/6494271815
Ibadat,clothes,,,,1764,https://www.openstreetmap.org/node/13890672503
Ethnix by Raymond,clothes,,,,1764,https://www.openstreetmap.org/node/13890672504
Enamor,clothes,,,,1766,https://www.openstreetmap.org/node/13890652489
Hidesign,leather,,,,1766,https://www.openstreetmap.org/node/13890672565
Taco Bell,fast_food,,,,1768,https://www.openstreetmap.org/node/13890652500
Peter England,clothes,,,,1768,https://www.openstreetmap.org/node/13890672584
Crocs,shoes,,,,1770,https://www.openstreetmap.org/node/13890672620
Casio,watches,,,,1771,https://www.openstreetmap.org/node/13890672561
Date the Ramp,clothes,,,,1771,https://www.openstreetmap.org/node/13890672610
Igadget,electronics,,,,1772,https://www.openstreetmap.org/node/13890652488
Aafarin,confectionery,,,,1774,https://www.openstreetmap.org/node/13890652481
Bercos,fast_food,,,,1774,https://www.openstreetmap.org/node/13890652491
Lenovo,electronics,,,,1775,https://www.openstreetmap.org/node/13890672616
Indigo,clothes,,,,1776,https://www.openstreetmap.org/node/13890652477
Pizza By Stone Oven,restaurant,,,,1776,https://www.openstreetmap.org/node/13890672527
HDFC Bank,bank,,https://www.hdfcbank.com,,1777,https://www.openstreetmap.org/node/537979936
Subway,fast_food,,,,1777,https://www.openstreetmap.org/node/13890672526
Dosa Plaza,restaurant,,,,1778,https://www.openstreetmap.org/node/13890672576
Baggit,bag,,,,1779,https://www.openstreetmap.org/node/13890652486
My Nail Studio,beauty,,,,1779,https://www.openstreetmap.org/node/13890672600
The Bristol Hotel,hotel,01244351111,https://www.thebristolhotel.in,Gurugram,1779,https://www.openstreetmap.org/way/144358736
Levi's,clothes,,,,1782,https://www.openstreetmap.org/node/13890672608
imagine,electronics,,,,1783,https://www.openstreetmap.org/node/13890672529
Go Colors,clothes,,,,1783,https://www.openstreetmap.org/node/13890672602
Reebok,clothes,,,,1785,https://www.openstreetmap.org/node/13890672501
Rajasthali,restaurant,,,,1786,https://www.openstreetmap.org/node/13890672592
Bata,shoes,,,,1787,https://www.openstreetmap.org/node/13890672525
Gianis,ice_cream,,,,1787,https://www.openstreetmap.org/node/13890672550
MGF Metropolitan,mall,,,,1788,https://www.openstreetmap.org/node/1374529955
Pan Bangkok,restaurant,,,,1789,https://www.openstreetmap.org/node/9213699811
The Belgian Waffle co,fast_food,,,,1789,https://www.openstreetmap.org/node/13890672583
Hp World,electronics,,,,1790,https://www.openstreetmap.org/node/13890672538
Kushals,jewelry,,,,1790,https://www.openstreetmap.org/node/13890672568
Street Food By Punjab Grill,restaurant,,,,1792,https://www.openstreetmap.org/node/13890672502
Square The Coffee Shop,coffee,,,,1792,https://www.openstreetmap.org/node/13890672599
Genpact,yes,,,,1793,https://www.openstreetmap.org/node/266740748
Mia by Tanishq,jewelry,,,,1794,https://www.openstreetmap.org/node/13890672509
Wow China,fast_food,,,,1795,https://www.openstreetmap.org/node/13890672560
Chaat Ka Chaska,fast_food,,,,1796,https://www.openstreetmap.org/node/13890672586
Titan Eye+,optician,,,,1798,https://www.openstreetmap.org/node/13890672617
Wow! Momo,fast_food,,,,1798,https://www.openstreetmap.org/node/13890672619
Lord Krishna Bank,bank,,,,1799,https://www.openstreetmap.org/node/271336389
Mad Over Donuts,fast_food,,,,1800,https://www.openstreetmap.org/node/13890672554
Asus,electronics,,,,1801,https://www.openstreetmap.org/node/13890672521
Zivame,clothes,,,,1802,https://www.openstreetmap.org/node/13890672601
Chicago Pizza,fast_food,,,,1806,https://www.openstreetmap.org/node/13890672569
Jhon Pride,clothes,,,,1808,https://www.openstreetmap.org/node/13890672567
Park Avenue,clothes,,,,1809,https://www.openstreetmap.org/node/13890652483
labneh,fast_food,,,,1810,https://www.openstreetmap.org/node/13890672618
Wow World of Watches,watches,,,,1812,https://www.openstreetmap.org/node/13890652484
NutrioBox Gurugram,fast_food,,https://www.nutriobox.com/,"Mehrauli-Gurgaon Rd, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, Gurgaon",1815,https://www.openstreetmap.org/node/8130326878
Khadak Singh Da Dhaba,restaurant,,,,1815,https://www.openstreetmap.org/node/13890672559
Diamond Lleaf,jewelry,,,,1815,https://www.openstreetmap.org/node/13890672578
Meena Bagaar,clothes,,,,1815,https://www.openstreetmap.org/node/13890672596
Columbia,clothes,,,,1816,https://www.openstreetmap.org/node/13890652493
ABN Amro,bank,,,,1817,https://www.openstreetmap.org/node/537979943
Malabar,jewelry,,,,1817,https://www.openstreetmap.org/node/10593670010
D Biryani & More,restaurant,,,,1819,https://www.openstreetmap.org/node/13890672566
Dr. Khosla's Dental Clinic,dentist,+91-124-4036918,,H-35,1820,https://www.openstreetmap.org/node/9447044303
Color Plus,clothes,,,,1821,https://www.openstreetmap.org/node/13890672581
Cut and Style,beauty,,,,1824,https://www.openstreetmap.org/node/13890672532
Lavie,bag,,,,1826,https://www.openstreetmap.org/node/13890672543
Rolta Corporate Park,yes,,,"187, Udyog Vihar Phase -1, Gurgaon, Haryana",1827,https://www.openstreetmap.org/node/2507527927
IndusInd Bank,bank,,https://www.indusind.com,,1829,https://www.openstreetmap.org/node/537979940
Queens,nightclub,,,,1836,https://www.openstreetmap.org/node/13890672588
Shoppers Stop,department_store,,,,1839,https://www.openstreetmap.org/node/13890672522
Coco,nuts,,,,1841,https://www.openstreetmap.org/node/13890652476
Accessorize,fashion_accessories,,,,1843,https://www.openstreetmap.org/node/13890672589
Sweet Corn,fast_food,,,,1844,https://www.openstreetmap.org/node/13890672577
